Country Name,Country Code,Mobile cellular subscriptions (per 100 people)_2018,Mobile cellular subscriptions (per 100 people)_2019,Mobile cellular subscriptions (per 100 people)_2020,Mobile cellular subscriptions (per 100 people)_2021,Mobile cellular subscriptions (per 100 people)_2022,Access to electricity (% of population)_2018,Access to electricity (% of population)_2019,Access to electricity (% of population)_2020,Access to electricity (% of population)_2021,Access to electricity (% of population)_2022,Individuals using the Internet (% of population)_2018,Individuals using the Internet (% of population)_2019,Individuals using the Internet (% of population)_2020,Individuals using the Internet (% of population)_2021,Individuals using the Internet (% of population)_2022,Statistical performance indicators (SPI): Overall score (scale 0-100)_2018,Statistical performance indicators (SPI): Overall score (scale 0-100)_2019,Statistical performance indicators (SPI): Overall score (scale 0-100)_2020,Statistical performance indicators (SPI): Overall score (scale 0-100)_2021,Statistical performance indicators (SPI): Overall score (scale 0-100)_2022
Afghanistan,AFG,59.90264778,59.78387904,58.1902139,56.55443457,,93.4,97.7,97.7,97.7,85.3,16.8,17.6,18.4,,,49.845,49.75625,54.39666667,58.01416667,58.01416667
Albania,ALB,94.36446759,91.51642864,91.35050062,92.31992041,97.88570679,100.0,100.0,100.0,100.0,100.0,65.4,68.5504,72.2377,79.3237,82.6137,77.59666667,75.38291667,82.98416667,83.44041667,83.41875
Algeria,DZA,112.4675177,106.3696091,104.842178,106.4235366,109.1653573,99.6,99.5,99.7,99.8,100.0,49.0385,58.9776,60.6534,66.2356,71.2432,52.745,55.14916667,53.40625,63.97083333,63.16083333
American Samoa,ASM,111.300214,110.7598278,104.1456707,112.5482564,125.6897392,99.8,99.75,99.85,99.9,100.0,42.359,74.84815,76.9295,80.06655,82.86435,53.57402777666667,55.08138889,54.99194444333333,60.91041666333333,59.92874999666667
Andorra,AND,110.1329103,115.1500465,103.4491634,118.6729762,142.2141211,100.0,100.0,100.0,100.0,100.0,35.6795,90.7187,93.2056,93.8975,94.4855,54.40305555333333,55.01361111,56.57763888666667,57.84999999666667,56.69666666333334
Angola,AGO,42.49094914,45.8377414,43.81009059,44.42373173,67.37347427,45.3,45.6,47.0,48.2,48.5,29.0,32.1294,36.6347,37.8067,39.2935,55.23208333,54.94583333,58.16333333,54.78958333,53.46458333
Antigua and Barbuda,ATG,87.21405882,199.7481436,198.5668652,197.3825359,99.865641885,100.0,100.0,100.0,100.0,100.0,79.6,83.2,86.8837,87.074,91.4123,60.2525,59.77083333,44.14208333,49.5775,48.15083333
Argentina,ARG,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095,100.0,100.0,100.0,100.0,100.0,77.7,79.947,85.5144,87.1507,88.3754,65.27291667,64.59583333,65.2775,71.56791667,71.77291667
Armenia,ARM,126.1831509,128.2969735,124.3508359,128.961359,135.2539805,99.9,100.0,100.0,100.0,100.0,68.2451,66.5439,76.5077,78.6123,77.0277,82.39041667,82.22666667,82.93833333,83.1525,82.78583333
Aruba,ABW,118.41754025,132.4665076,132.2887836,132.3496283,121.14259165,100.0,100.0,100.0,100.0,99.9,79.12254999999999,80.0769,85.6006,86.80045000000001,85.95195,85.37729167,85.23416667000001,84.333125,86.078541665,86.36604166500001
Australia,AUS,110.6519296,110.29622,105.231579,104.5172138,107.0312028,100.0,100.0,100.0,100.0,100.0,90.0,93.6099,94.6935,94.9886,94.8762,88.36416667,88.24166667,85.72791667,89.00458333,89.94625
Austria,AUT,124.2461975,120.7891044,120.3155961,121.9694798,123.4348071,100.0,100.0,100.0,100.0,100.0,87.4791,87.7522,87.5294,92.5292,93.6141,89.505,89.12,89.77916667,90.13083333,89.99083333
Azerbaijan,AZE,101.8436601,105.0577494,100.577047,104.8878056,106.8548072,100.0,100.0,100.0,100.0,100.0,79.8,81.1,84.6,86.0,88.0,68.15625,68.14125,70.86708333,73.34375,73.49041667
"Bahamas, The",BHS,96.71589874,105.1785039,114.6450432,97.42269052,98.53872346,100.0,100.0,100.0,100.0,100.0,83.0,90.6933,92.4437,93.7667,94.4117,52.59583333,50.12416667,48.14333333,53.48791667,54.12791667
Bahrain,BHR,140.7017898,128.4065325,119.86485,131.4487123,145.4432145,100.0,100.0,100.0,100.0,100.0,98.6447,99.7015,99.671,100.0,100.0,52.8175,54.46666667,60.0125,59.65333333,59.36666667
Bangladesh,BGD,98.83168698,100.0336994,105.2911628,108.9094426,105.2642491,86.9,92.2,96.2,99.0,99.4,25.6,30.4,36.1091,38.9174,41.6152,59.02083333,58.07,61.80291667,68.73291667,69.74458333
Barbados,BRB,117.7476331,117.5408666,105.0970277,112.6006401,114.8585936,100.0,100.0,100.0,100.0,100.0,72.4,72.6,72.6766,74.8596,76.2053,67.23895833,67.602291665,71.55791667,77.43,64.6275
Belarus,BLR,119.8449004,120.1910673,121.490553,122.7801287,123.4472552,99.3,100.0,100.0,100.0,100.0,79.1299,82.7892,85.0879,86.8884,89.5073,75.45708333,77.13458333,81.31291667,86.12708333,86.65541667
Belgium,BEL,99.9891253,99.99135577,99.72332827,101.1083743,101.8707731,100.0,100.0,100.0,100.0,100.0,88.6473,90.2754,91.5264,92.7887,94.0078,82.1875,82.805,81.94833333,87.79791667,88.91958333
Belize,BLZ,64.46818089,65.51587659,66.84898207,65.9948854,105.4180316,91.7,92.7,96.8,97.7,98.6,49.8,53.3,57.0987,65.0198,70.354,58.50291667,58.75541667,59.01708333,61.62666667,61.85666667
Benin,BEN,79.24062635,84.21052161,88.11818884,97.96018203,108.9652901,39.0,40.0,41.0,42.0,56.5,19.0,20.5,22.1206,30.7419,33.7602,50.12958333,48.04625,56.3625,62.54125,62.56791667
Bermuda,BMU,85.77945848,104.9959255,106.2002186,105.9437563,101.92901577,100.0,100.0,100.0,100.0,100.0,41.25,47.3397,49.48570000000001,58.1894,60.30025,51.1875,50.01875,53.627083335,60.730833335,61.0775
Bhutan,BTN,92.31829061,95.0199294,96.4571149,100.0671395,94.89274144,100.0,100.0,100.0,100.0,100.0,63.5,74.1794,76.8508,85.6369,86.8403,52.24541667,51.99125,50.89166667,58.92041667,59.58708333
Bolivia,BOL,98.61224848,99.24869117,98.89563329,99.62307127,106.39024497,92.8,95.1,97.2,98.6,99.9,44.2861,47.4748,59.9401,65.9774,73.2831,62.0725,62.65625,64.70041667,70.80958333,71.19291667
Bosnia and Herzegovina,BIH,101.7919614,111.7477784,105.7638198,113.9969422,117.8877485,100.0,100.0,100.0,100.0,100.0,70.1201,69.9463,73.2118,75.6762,78.8455,61.23,61.2375,65.04708333,70.86,70.615
Botswana,BWA,137.9300386,149.8882667,150.3850531,160.7369816,165.3049695,68.3,70.1,71.8,73.7,75.9,58.0,64.8263,67.4756,75.2388,77.3272,56.48041667,57.34916667,60.50666667,61.37166667,61.19333333
Brazil,BRA,99.64002652,95.38505233,96.54706819,102.48887,98.89102076,99.7,99.8,99.7,99.5,100.0,70.4343,73.9124,81.3427,80.6899,80.5278,75.45,76.75375,78.3375,80.37958333,80.52458333
British Virgin Islands,VGB,131.7092467,129.1538713,113.7593012,120.9465973,108.32308778,100.0,100.0,100.0,100.0,100.0,82.71715,84.4562,88.19649999999999,88.1562,89.7491,77.85611111,78.61027777666666,69.59875,72.217291665,72.459791665
Brunei Darussalam,BRN,130.3207192,131.2182683,121.4758051,135.501254,117.7551548,100.0,100.0,100.0,100.0,100.0,95.0,95.0,95.0503,95.6225,98.9704,80.26222222,80.46680555333333,60.86,64.055,64.395
Bulgaria,BGR,117.8397093,115.3427025,113.849275,114.7677533,117.4346239,98.7,99.2,99.7,99.8,100.0,64.782,67.947,70.1625,75.2714,79.1269,82.66833333,82.32333333,83.05291667,83.97625,83.87958333
Burkina Faso,BFA,94.83338248,97.19768463,102.7626369,111.6631328,87.69796267000001,14.4,17.6,18.5,19.0,19.5,8.5,9.27181,15.5971,18.114,19.9237,53.68,53.62333333,53.16625,65.42958333,64.83291667
Burundi,BDI,54.97002994,55.00739463,54.26373457,61.67128229,57.96130144,9.5,9.8,9.1,10.2,10.3,4.0,6.1,9.17302,10.1846,11.275,54.49416667,50.91333333,49.67625,47.5375,50.66416667
Cabo Verde,CPV,106.8497659,103.232241,93.49323768,100.3820215,99.2317289,90.2,91.4,93.7,95.5,97.1,59.5,61.9434,69.3734,71.3752,72.1021,54.55625,54.66875,60.77125,66.55166667,65.69333333
Cambodia,KHM,121.1658947,132.1508925,128.6026166,119.9575768,116.3256071,80.7,84.0,86.4,82.5,92.3,44.6,52.3059,53.6508,55.6004,56.7328,56.51,56.2025,58.10041667,63.56166667,64.34666667
Cameroon,CMR,73.59740879,83.00540281,84.36916915,79.9676844,82.77764316,62.2,63.2,64.3,65.4,71.0,29.7,36.5392,41.2264,42.5456,43.8629,57.39833333,53.47666667,55.15,52.86041667,54.50041667
Canada,CAN,89.67401709,91.59004081,85.40841921,88.09065504,91.23062536,100.0,100.0,100.0,100.0,100.0,94.64,91.9129,92.3,93.2917,94.0,86.57083333,87.46583333,87.43666667,93.42083333,92.9225
Cayman Islands,CYM,57.391633080000005,149.6960716,148.5663349,146.7652929,83.55251302,100.0,100.0,100.0,100.0,100.0,49.87,49.71103,50.4328362415,51.93716982,66.72796666666666,68.24277777666667,71.16166666333334,73.12569444666666,79.00680555333332,67.76875
Central African Republic,CAF,25.10924907,30.6238199,34.26900891,33.55228751,75.87440068,14.6,14.3,15.4,15.7,15.7,5.1,7.50916,8.565672483,10.58263964,39.45593333333333,49.914722223333335,54.85749999666667,58.81472222333333,64.59277777666667,42.615
Chad,TCD,44.75798518,47.52838524,52.19169152,60.22303015,68.19628834,10.1,8.4,10.9,11.3,11.7,7.0,7.6,8.34311,11.0057,12.1839,31.58666667,38.55333333,44.50375,50.17875,49.24708333
Channel Islands,CHI,89.69725134000001,89.55291537,91.03843606,98.268217975,101.47080732,100.0,100.0,100.0,100.0,100.0,45.95,46.308800000000005,47.901205,49.9051,51.430400000000006,56.045625,60.49520833,63.572916665,67.89375,68.345416665
Chile,CHL,134.6365175,131.5774455,129.8851806,136.3134058,134.7453263,100.0,100.0,100.0,100.0,100.0,84.9,85.0176,87.4593,88.8045,90.6769,80.50458333,82.43708333,82.64208333,85.60875,87.44375
China,CHN,116.3882038,122.8132903,120.5961882,121.5382526,124.8775379,100.0,100.0,100.0,100.0,100.0,59.2,64.0809,70.0528,73.0532,75.6113,55.53625,58.21833333,57.8075,59.31875,59.59875
Colombia,COL,130.9211763,132.0713308,132.8719623,145.6931676,155.7854178,98.5,99.4,99.7,100.0,100.0,64.1264,65.0069,69.7953,73.0284,72.7964,71.11208333,73.76541667,74.06833333,86.4175,85.89916667
Comoros,COM,64.26561932,72.72164109,96.95013186,103.8731734,100.2382961,81.0,83.3,85.6,87.9,89.9,37.9132,16.3838,21.16321517,27.33694319,50.0182,55.69916666500001,53.75937499999999,60.11770833,69.420416665,68.49291667
"Congo, Dem. Rep.",COD,41.87818082,41.29072644,43.93861689,48.89330021,50.3424172,18.7,19.1,20.1,20.8,21.5,11.7,16.4812,19.8388,26.17,27.24,40.28625,33.75333333,46.16708333,52.42333333,51.08666667
"Congo, Rep.",COG,91.89382514,91.8162281,98.52300193,96.78757313,101.18378305,47.0,47.7,48.7,49.7,50.6,42.58985,48.8419,24.8206,32.7417,36.2469,36.66166667,36.57666667,39.23625,37.45541667,37.45541667
Costa Rica,CRI,168.5386493,143.7687874,146.6370492,152.0081561,152.0251489,99.7,99.7,99.9,100.0,100.0,73.4797,81.2026,80.5302,82.749,82.598,76.68916667,79.77791667,83.32625,90.00416667,89.92416667
Cote d'Ivoire,CIV,132.6110689,142.9449473,149.543339,162.1701041,174.0251271,67.1,68.6,69.9,71.1,70.4,37.5465,36.289,36.0166,38.7504,38.4133,57.27833333,56.10833333,61.46916667,64.01916667,62.24083333
Croatia,HRV,105.479914,106.6565741,106.805903,108.4252864,111.1680153,100.0,100.0,100.0,100.0,100.0,75.2946,79.0798,78.3209,81.254,82.0716,66.52166667,68.45416667,73.67333333,83.34458333,83.14625
Cuba,CUB,47.43291193,53.39569959,58.95001353,63.10466641,67.78418241,99.6,99.8,99.9,100.0,100.0,62.6789,67.9708,71.1191,67.6435,73.2178,71.25361111333333,72.56319444666667,76.43388888666667,84.14097222000001,83.78263889
Curacao,CUW,100.9029785,95.40617378,89.81023625,88.26771323,87.99285047333333,100.0,100.0,100.0,100.0,100.0,73.55625,77.0172,80.9605,79.20150000000001,81.4094,75.98555555666667,76.67222222333334,79.19444444333334,84.93736111,84.41902778
Cyprus,CYP,137.0450965,139.994482,139.6351351,148.7380631,108.20151853666668,100.0,100.0,100.0,100.0,100.0,84.4336,86.0636,90.8019,90.7595,89.601,80.7175,80.78125,81.955,85.73375,85.05541667
Czechia,CZE,120.5956604,124.3382405,123.4438209,126.4124254,128.4101866,100.0,100.0,100.0,100.0,100.0,80.6882,80.8669,81.3389,82.6706,84.5401,85.21583333,85.06083333,87.56208333,91.17791667,90.87458333
Denmark,DNK,125.1362568,124.9761468,124.4957422,125.7822877,126.549332,100.0,100.0,100.0,100.0,100.0,97.3192,98.0464,96.5491,98.8659,97.8601,86.76458333,86.54208333,87.11916667,91.58125,91.61125
Djibouti,DJI,37.36641575,38.53522459,39.81402662,44.26176127,46.32720375,62.4,64.7,64.5,65.4,65.0,58.0,59.342,62.5104,64.0414,65.0322,37.10166667,36.60625,40.79041667,46.70208333,46.55041667
Dominica,DMA,108.4675882,109.3856751,103.6294691,85.85731647,68.35930853,99.6,99.9,100.0,100.0,100.0,66.411,73.3819,75.6567,82.3506,83.3767,49.111666670000005,50.385416665,44.53958333,46.21708333,44.19208333
Dominican Republic,DOM,83.02096599,82.22940664,81.72601454,87.56486177,90.39141331,98.9,99.0,100.0,98.1,98.1,74.822,79.7155,81.6173,85.243,84.3832,61.12166667,64.16458333,64.2825,69.68958333,72.42125
Ecuador,ECU,92.69594524,91.40531396,88.04208636,94.33558884,97.16544081,98.7,99.1,98.9,100.0,100.0,57.5,59.2,70.7,70.2073,69.7181,73.41375,72.95,75.70416667,79.24333333,79.15
"Egypt, Arab Rep.",EGY,90.40274284,90.26837878,88.73336258,94.68027811,93.20626903,100.0,100.0,100.0,100.0,100.0,46.9243,57.2829,71.9142,72.056,72.1981,74.545,74.07083333,76.84583333,79.97708333,79.60041667
El Salvador,SLV,150.3024373,165.5481968,158.1030557,175.3370318,181.6273204,97.0,97.4,99.7,97.9,100.0,43.8,50.4912,54.6014,58.5986,62.8885,68.10833333,68.80333333,68.41708333,73.7575,73.76083333
Equatorial Guinea,GNQ,39.35997262,39.72876266,46.62018522,49.96671696,53.34269106,66.5,66.6,66.7,66.8,67.0,24.55,49.1337,55.0013,60.5587,66.8193,74.32388888666667,74.56013888666666,33.94708333,38.96583333,39.01416667
Eritrea,ERI,92.44165895999998,37.46979694,50.64867425,49.74709362,104.18634858,49.1,50.3,51.4,52.5,55.4,5.3,11.2,23.8002,25.0991,26.5942,80.53944444333332,80.31694444333334,59.246666665,63.500833330000006,64.283333335
Estonia,EST,145.5233453,147.0228833,144.8567221,149.0807939,155.0300061,100.0,100.0,100.0,100.0,100.0,89.357,90.2289,89.0583,90.9797,91.5202,86.755,86.07375,84.54625,88.03583333,89.5525
Eswatini,SWZ,89.85382979,91.85072327,105.8184652,120.0524881,122.1702298,74.0,77.0,80.0,82.9,82.3,39.4,43.9,49.013,56.1988,58.2502,53.71541667,47.18708333,49.88083333,54.79208333,51.66541667
Ethiopia,ETH,100.654517695,36.73307203,37.97222807,53.62352623,56.02453443,44.8,48.0,51.1,54.2,55.0,15.9,16.0,16.0696,16.6981,19.3781,53.59291667,53.59916667,50.48375,59.00041667,61.09375
Faroe Islands,FRO,111.4552056,106.3427565,112.9695698,111.9592346,80.24403392,100.0,100.0,100.0,100.0,100.0,42.400000000000006,46.59335,49.54815,49.29905000000001,52.29899999999999,55.867083335,55.6,53.549583335,61.03375,62.130416665
Fiji,FJI,110.4466178,112.143753,107.7223274,107.2344015,104.46353341,95.1,96.1,97.1,92.1,92.0,68.9,77.1867,83.0267,81.9,85.2199,58.14125,57.60083333,56.61541667,63.06708333,63.16708333
Finland,FIN,129.6355826,129.4929527,128.7646479,129.1548109,128.6830329,100.0,100.0,100.0,100.0,100.0,88.89,89.6074,92.1703,92.8081,92.9888,88.7475,88.5075,90.12083333,93.47416667,93.63583333
France,FRA,109.5588076,111.8637727,112.8271405,116.6934991,118.8472962,100.0,100.0,100.0,100.0,100.0,82.0432,83.3397,84.7064,86.0955,85.3333,86.82208333,86.56333333,87.21666667,89.9475,90.78416667
French Polynesia,PYF,101.7025866,106.1000877,110.9565448,106.2118461,106.9831755,100.0,100.0,100.0,100.0,100.0,70.8216,76.01259999999999,78.49090000000001,79.61845,79.51419999999999,57.19708333,57.30895833,58.822708335,65.906875,66.80437500000001
Gabon,GAB,133.692425,133.4416659,133.0177927,134.3173247,125.387067,89.6,90.3,91.1,91.8,93.5,59.6,68.6855,72.2754,73.1414,73.6951,27.57208333,28.05458333,30.42875,41.86625,42.82458333
"Gambia, The",GMB,130.1227936,103.0224594,104.038819,101.4408792,140.736817,60.3,62.1,62.2,63.7,65.4,28.3,35.6,44.8133,49.6646,54.1899,48.85416667,44.23375,47.45375,65.37916667,64.43916667
Georgia,GEO,144.7181513,142.7295197,135.4280451,147.7548843,156.086567,99.9,100.0,100.0,100.0,100.0,62.7179,68.8467,72.5316,76.4427,78.7113,75.44625,80.06041667,86.49625,90.36916667,90.66583333
Germany,DEU,129.6794748,128.9265144,128.8867207,127.5648538,125.2251369,100.0,100.0,100.0,100.0,100.0,87.0371,88.1345,89.8129,91.4306,91.6298,87.44166667,87.49791667,87.47625,90.97583333,90.9875
Ghana,GHA,132.601312,129.6132895,125.7336966,123.2115092,119.6243981,80.4,83.5,85.4,86.3,85.1,43.0,22.0732,62.5176,68.6,69.8405,60.17333333,61.99583333,61.29625,64.14125,64.23958333
Gibraltar,GIB,125.7197991,124.0232523,108.3465819,104.5270891,112.4322338,100.0,100.0,100.0,100.0,100.0,57.6192,48.8722,70.3167,73.54714999999999,76.5056,72.31020833,73.67833333,73.3725,76.610833335,76.4925
Greece,GRC,114.4592115,112.370475,108.5687131,110.0393141,109.0631741,100.0,100.0,100.0,100.0,100.0,72.2384,75.6712,78.1158,78.4943,83.1707,84.44708333,85.36083333,85.44875,89.08041667,88.74541667
Greenland,GRL,109.767392,110.2358263,117.7274837,118.4236261,110.592893025,100.0,100.0,100.0,100.0,100.0,66.8192,72.6417,75.6917,74.80484999999999,81.53309999999999,78.9509374975,79.278854165,81.1519791675,84.860520835,64.94354167
Grenada,GRD,97.44168486,94.670969,96.03519242,81.06733007,112.12261195,92.3,93.0,93.4,93.7,94.2,61.4,69.6122,73.2676,71.1154,79.8955,73.454791665,73.196875,76.855208335,80.640625,41.14166667
Guam,GUM,109.45468878,108.34833835,106.73729376,103.358040635,113.652330875,100.0,100.0,100.0,100.0,100.0,51.45,57.006600000000006,60.38995,60.9785,67.1499,67.9586458325,67.114895835,72.5584375025,76.420729165,56.56625
Guatemala,GTM,121.4676927,122.0257077,117.4393951,125.6487512,115.1820498,94.2,95.4,96.6,97.9,99.1,41.5,44.401,47.5123,50.8416,54.4043,62.4625,61.03291667,68.26166667,72.20083333,71.99083333
Guinea,GIN,95.6840313,99.96476034,104.466802,101.9442494,120.55725345,45.0,42.2,44.7,46.8,47.7,21.83,23.3663,29.3934,31.311,33.923,39.96791667,45.87541667,49.4475,57.8525,57.9025
Guinea-Bissau,GNB,76.91042128,80.71131758,94.94153271,108.5305095,125.9324571,28.4,30.9,33.4,35.8,37.4,15.7,22.9201,28.1686,28.5397,31.567,41.68666667,33.4025,31.90291667,37.30916667,39.98916667
Guyana,GUY,68.434440455,97.40182509,107.375546,106.3926311,109.31517943333333,90.9,91.6,92.3,92.9,93.0,51.1,61.1,73.1413,81.0716,85.3163,42.47083333,41.48958333,51.84375,56.3075,56.45083333
Haiti,HTI,59.95845963,61.31820274,64.73094691,63.9349717,92.69790176666666,44.4,45.4,46.3,47.2,49.3,32.4736,39.262,36.39474796,38.94501834,72.5149,44.9125,37.51625,39.92208333,39.57208333,39.58541667
Honduras,HND,77.49076112,75.91082245,68.76918576,73.55959801,76.0806241,91.6,91.1,93.1,94.1,94.4,36.0401,39.3884,45.2483,51.9801,59.7135,61.07,61.17625,60.54458333,60.4525,60.95083333
"Hong Kong SAR, China",HKG,265.9712453,286.2244771,291.4989659,319.4262706,291.9103362,100.0,100.0,100.0,100.0,100.0,90.5074,91.7434,92.4131,93.0872,95.6136,73.018333335,73.005208335,73.154166665,74.77479166500001,74.43145833
Hungary,HUN,102.7165638,105.1259564,105.9697831,106.9277943,104.0561504,100.0,100.0,100.0,100.0,100.0,76.0744,80.3717,84.7712,88.6408,89.1428,84.96666667,84.83416667,85.76375,89.09708333,87.91208333
Iceland,ISL,116.5506905,114.5997217,114.9221778,118.0741761,122.5171495,100.0,100.0,100.0,100.0,100.0,99.011,99.5049,99.5328,99.687,99.8565,78.29458333,78.01333333,83.27166667,86.58625,86.88291667
India,IND,85.90350833,83.25286162,82.621059,81.98893361,80.64857717,95.7,95.9,96.5,99.6,99.2,20.0813,29.5235,43.4054,80.89574999999999,83.17054999999999,69.08208333,70.36708333,72.65541667,75.25458333,74.19625
Indonesia,IDN,119.6084851,126.5946679,130.8110952,133.6505363,114.9005566,98.5,98.9,97.0,99.2,100.0,39.9046,47.6906,53.7265,62.1045,66.4846,72.35125,72.2025,74.92208333,78.77916667,78.9575
"Iran, Islamic Rep.",IRN,103.6264522,136.3859613,146.2076628,154.5542763,164.5020873,100.0,100.0,100.0,100.0,100.0,70.2006,72.4509,75.5699,78.5957,81.717,56.93208333,56.68833333,52.17208333,57.71875,58.71875
Iraq,IRQ,89.9894631,89.56113197,88.05916556,93.60441472,98.18424176,99.9,100.0,100.0,100.0,100.0,33.9,44.3263,53.6778,65.0022,78.7156,35.47791667,34.80166667,41.84458333,58.19375,56.32875
Ireland,IRL,102.8335051,105.3980591,105.8205231,107.7677124,113.2768198,100.0,100.0,100.0,100.0,100.0,87.0001,87.0001,91.9999,94.456,95.5905,86.2975,87.0375,88.70458333,91.98166667,91.28666667
Isle of Man,IMN,114.68182385,120.65969835,122.96458075,124.10810975,132.7495331,100.0,100.0,100.0,100.0,100.0,85.36664999999999,86.894,91.0636,92.37645,93.72065,81.825416665,82.586666665,83.75125,86.61458333499999,87.27125000000001
Israel,ISR,126.5301426,135.9213376,140.1086384,140.4485071,152.2222464,100.0,100.0,100.0,100.0,100.0,83.7332,86.7879,90.1273,90.2969,91.8508,77.35333333,78.13583333,78.79791667,81.2475,83.25583333
Italy,ITA,139.1884938,133.0713342,130.3870472,131.86107,132.971226,100.0,100.0,100.0,100.0,100.0,74.3872,67.8507,70.4834,74.8623,85.0607,90.18458333,89.86583333,89.62333333,91.6525,91.89416667
Jamaica,JAM,105.44623,107.4668426,101.8728665,102.7483172,106.2021796,98.2,98.9,99.7,100.0,100.0,68.2145,70.841,76.384,82.3607,85.1185,55.32041667,54.64291667,56.44166667,63.23583333,61.63916667
Japan,JPN,142.4668807,148.2722187,155.7389638,160.8817412,167.5231573,100.0,100.0,100.0,100.0,100.0,88.7464,92.7304,90.2195,82.9141,84.9234,85.35916667,85.80916667,88.42666667,90.20458333,89.87291667
Jordan,JOR,83.47869848,72.70773421,63.94061117,65.26176509,67.56799743,99.9,99.9,99.9,99.9,100.0,65.2,70.0847,78.4178,86.0,90.5,58.71666667,62.01041667,72.31416667,76.31166667,78.165
Kazakhstan,KAZ,140.6055713,137.1299254,128.0024709,127.4765953,130.4206754,100.0,100.0,100.0,100.0,100.0,78.9039,81.8776,85.9426,90.924,92.2969,78.93166667,78.55916667,81.01166667,78.31916667,78.19083333
Kenya,KEN,99.09540718,107.0734925,118.1263492,122.7902388,121.6735548,61.2,69.7,71.5,76.5,76.0,19.5,22.6688,27.5774,38.2459,40.8137,54.96291667,54.53791667,53.81583333,66.06166667,66.31333333
Kiribati,KIR,43.62598354,43.99352871,43.22257718,40.83989013,48.82650573,87.5,89.3,91.0,92.8,94.4,32.9864,42.9917,52.0585,54.0494,54.4214,24.1175,24.4975,35.15541667,42.67916667,43.77083333
"Korea, Dem. People's Rep.",PRK,86.01554457,16.51301564,23.19515861,23.10188288,98.707283015,46.3,48.4,50.5,52.6,54.7,64.50465,69.57465,74.2818,75.81035,75.795,54.466041665000006,56.390625,61.66166667,65.39,65.806666665
"Korea, Rep.",KOR,128.4051056,132.9873505,136.0094467,140.5658819,148.5880603,100.0,100.0,100.0,100.0,100.0,96.0229,96.1576,96.5051,97.5713,97.1686,84.81458333,88.28375,88.16791667,88.10083333,87.8425
