Country Name,Country Code,Gini index_2018,Gini index_2019,Gini index_2020,Gini index_2021,Gini index_2022,Risk of impoverishing expenditure for surgical care (% of people at risk)_2018,Risk of impoverishing expenditure for surgical care (% of people at risk)_2019,Risk of impoverishing expenditure for surgical care (% of people at risk)_2020,Risk of impoverishing expenditure for surgical care (% of people at risk)_2021,Risk of impoverishing expenditure for surgical care (% of people at risk)_2022,"Inflation, consumer prices (annual %)_2018","Inflation, consumer prices (annual %)_2019","Inflation, consumer prices (annual %)_2020","Inflation, consumer prices (annual %)_2021","Inflation, consumer prices (annual %)_2022",Lending interest rate (%)_2018,Lending interest rate (%)_2019,Lending interest rate (%)_2020,Lending interest rate (%)_2021,Lending interest rate (%)_2022,Multidimensional poverty headcount ratio (World Bank) (% of population)_2018,Multidimensional poverty headcount ratio (World Bank) (% of population)_2019,Multidimensional poverty headcount ratio (World Bank) (% of population)_2020,Multidimensional poverty headcount ratio (World Bank) (% of population)_2021,Multidimensional poverty headcount ratio (World Bank) (% of population)_2022
Niger,NER,37.3,32.06666666666666,31.0,32.9,35.03333333333333,96.0,42.32,42.72,41.04,40.0,2.96760366,-2.489792651,2.89819376,3.837868028,4.226217919,13.899841205,13.91692353,12.40871035,10.5515030935,10.781543939,79.9,2.666666666666667,1.8285714285714283,78.0,2.066666666666667
Nigeria,NGA,35.1,32.78333333333333,32.25,35.15,36.04,72.0,31.74,32.04,30.78,30.0,12.09510652,11.39642234,13.24602343,16.95284572,18.84718778,16.90389696,15.37658698,13.64202167,11.48313279,12.33454424,39.7,2.8833333333333337,1.7857142857142856,68.55,2.04
North Macedonia,MKD,33.0,33.5,33.5,37.4,37.04666666666667,48.0,21.16,21.36,20.52,20.0,1.458312985,0.766439573,1.200073489,3.230749121,14.20471732,6.10691834,5.609363829,5.193220791,4.857967632,4.633067219,3.7,3.1,1.7428571428571429,59.1,2.0133333333333336
Northern Mariana Islands,MNP,30.3,30.6,34.75,39.65,38.053333333333335,24.0,10.579999999999998,10.68,10.259999999999998,10.0,2.111572165,1.467084803,1.243329198,3.357314837,9.9844202495,4.5163758365,4.422598581,3.9453603955,3.5660671495000003,3.938200276,3.1500000000000004,2.45,1.7,49.650000000000006,1.9866666666666668
Norway,NOR,27.6,27.7,36.0,41.9,39.06,0.0,0.0,0.0,0.0,0.0,2.764831345,2.167730033,1.286584907,3.483880553,5.764123179,2.925833333,3.235833333,2.6975,2.274166667,3.243333333,2.6,1.8,1.657142857142857,40.2,1.96
Oman,OMN,28.6,33.225,37.25,44.15,40.06666666666667,21.85,22.05,23.4,21.25,19.95,0.889312371,0.490815363,-0.406402919,1.682211859,2.506142506,5.246384502,5.413343513,5.466499205,5.497836097,4.15937499975,9.65,1.8,1.6142857142857143,30.75,1.9333333333333331
Pakistan,PAK,29.6,38.75,38.5,46.4,41.07333333333334,43.7,44.1,46.8,42.5,39.9,5.078057259,10.5783618,9.739993139,9.496210561,19.87385996,8.530833333,12.2330548,10.75774943,8.665974215,5.0754166665,16.7,1.8,1.5714285714285714,21.300000000000004,1.9066666666666667
Palau,PLW,39.400000000000006,44.275,39.75,48.65,42.08,61.73333333333333,38.4,63.23333333333333,60.33333333333333,58.53333333333333,2.109704641,0.267379679,0.218181818,2.612481858,12.35266384,7.706816498,9.6615274,8.8830413815,7.801320441,5.99145833325,13.175,1.8,1.5285714285714285,11.850000000000009,1.88
Panama,PAN,49.2,49.8,41.0,50.9,43.08666666666667,79.76666666666667,32.7,79.66666666666666,78.16666666666666,77.16666666666666,0.761578359,-0.355083821,-1.550275408,1.630703373,2.859651288,6.882799663,7.09,7.008333333,6.936666667,6.9075,9.65,1.8,1.4857142857142858,2.4,1.8533333333333333
Papua New Guinea,PNG,47.6,47.75,42.25,46.9,44.09333333333333,97.8,27.0,96.1,96.0,95.8,4.374489215,3.928672909,4.871673986,4.48359014,5.253239222,9.075,8.650833333,7.700833333,7.6425,7.990833333,6.125,1.8,1.4428571428571426,1.85,1.8266666666666669
Paraguay,PRY,46.0,45.7,43.5,42.9,45.1,21.9,21.3,20.0,18.4,21.1,3.975610157,2.757097276,1.767515924,4.787983101,9.765566672,15.71770639,15.48426384,13.53731441,12.50973887,10.2940458315,2.6,1.8,1.4,1.3,1.8
Peru,PER,42.4,41.5,43.7,40.1,40.3,13.8,12.5,16.7,11.2,10.7,1.50915423,2.252121914,2.002412058,4.271663815,8.333706301,14.539125,14.38545,12.93833333,10.97950833,12.59725833,5.1,4.6,7.0,4.1,4.0
Philippines,PHL,42.3,35.15,36.1,40.7,40.265625,29.0,30.3,33.2,28.1,25.9,5.309346616,2.392065344,2.393162393,3.927180221,5.821158112,6.1185,7.095833333,11.1679627038,9.5538215088,10.9902387842,4.4,2.3,5.266666666666667,4.1,3.940625
Poland,POL,30.2,28.8,28.5,28.5,40.23125,0.1,0.1,0.4,0.4,13.3,1.812951565,2.227478809,3.374469726,5.055027047,14.42945076,5.8340356602500005,6.58164263875,9.3975920776,8.1281346876,9.3832192384,3.5,0.0,3.533333333333333,2.85,3.88125
Portugal,PRT,33.5,32.8,34.7,34.6,40.196875,0.3,0.2,0.5,0.7,0.7,0.993715683,0.33817841,-0.01243833,1.265657191,7.832691242,5.5495713205,6.0674519445,7.6272214514,6.7024478664,7.7761996926,2.6,1.7,1.8,1.6,3.821875
Puerto Rico,PRI,34.266666666666666,33.46666666666666,34.66666666666667,34.36666666666667,40.1625,0.5666666666666667,0.4,0.6333333333333333,0.7333333333333333,0.7,0.624765533,-0.1642313575,-1.2763766799999998,1.7850614240000002,6.4139833895,5.26510698075,5.55326125025,5.8568508252,5.2767610452,6.1691801468000005,1.7666666666666666,1.1333333333333333,1.2333333333333334,1.0666666666666669,3.7625
Qatar,QAT,35.03333333333333,34.13333333333333,34.63333333333333,34.13333333333333,40.128125,0.8333333333333333,0.6000000000000001,0.7666666666666666,0.7666666666666667,0.7,0.255815383,-0.666641125,-2.54031503,2.304465657,4.995275537,4.980642641,5.039070556,4.086480199,3.851074224,4.562160601,0.9333333333333332,0.5666666666666667,0.6666666666666667,0.5333333333333334,3.703125
Romania,ROU,35.8,34.8,34.6,33.9,40.09375,1.1,0.8,0.9,0.8,0.7,4.625484431,3.827854326,2.631073112,5.052328761,13.79548874,6.808202289,7.161666667,6.486401228,5.613499057,7.757094309,0.1,0.0,0.1,0.0,3.64375
Russian Federation,RUS,35.3,35.7,33.7,35.1,40.059375,5.0,4.8,3.8,39.65,37.85,2.878297236,4.470366608,3.381659372,6.69445892,15.74234915,8.866666667,8.753333333,6.775833333,7.181083333,11.45916667,4.699999999999999,4.6,5.0,5.3,3.584375
Rwanda,RWA,35.8,35.52857142857143,33.885714285714286,35.28333333333333,40.025,79.5,79.6,79.9,78.5,75.0,-0.31121016,3.34787655,9.850399023,-0.391346748,17.68920956,16.94666667,16.5275,16.345,16.17583333,16.385,9.3,3.971428571428571,4.6,10.6,3.525
Samoa,WSM,36.3,35.35714285714286,34.07142857142858,35.46666666666667,39.990625,73.12,73.1,73.28,72.12,69.28,4.197458887,0.98232657,-1.568912477,3.133204732,10.96188223,8.950100768,8.929166667,8.705,8.515416667,8.291059043,13.9,3.3428571428571425,4.2,15.9,3.465625
San Marino,SMR,36.8,35.18571428571429,34.25714285714286,35.650000000000006,39.95625,66.74,66.6,66.66,65.74,63.56,6.033027588,4.351285911,4.1252077190000005,5.635487558,14.48375867,4.163075,3.984991667,3.733908333,3.5323,3.802091667,18.5,2.7142857142857144,3.8,21.2,3.40625
Sao Tome and Principe,STP,37.3,35.01428571428571,34.44285714285714,35.833333333333336,39.921875,60.36,60.1,60.04,59.36,57.84,7.868596289,7.720245252,9.819327915,8.137770384,18.00563511,19.87362408,19.06201852,18.8275679,18.48648611,17.90422872,23.1,2.085714285714286,3.4000000000000004,26.5,3.346875
Saudi Arabia,SAU,37.8,34.84285714285714,34.628571428571426,36.016666666666666,39.8875,53.98,53.6,53.42,52.98,52.12,2.45814158,-2.093333333,3.44545826,3.063289889,2.474073719,17.982420949999998,17.4476129,17.022525244999997,16.154160141250003,15.703551559249998,27.7,1.4571428571428573,3.0,31.8,3.2875
Senegal,SEN,38.3,34.67142857142857,34.81428571428572,36.2,39.853125,47.6,47.1,46.8,46.6,46.4,0.460985642,1.760111512,2.543146857,2.180322781,9.696818991,16.09121782,15.83320728,15.21748259,13.8218341725,13.5028743985,32.3,0.8285714285714292,2.6,37.1,3.228125
Serbia,SRB,35.0,34.5,35.0,33.1,39.81875,3.6,3.1,3.4,3.5,3.1,1.959840763,1.849229845,1.575532901,4.085102853,11.98151173,14.20001469,14.21880166,13.412439935,11.48950820375,11.30219723775,0.1,0.2,2.2,30.933333333333334,3.16875
Seychelles,SYC,32.1,32.24,32.84,31.3,39.784375,0.5,0.4,0.4,0.4,8.2,3.702918391,1.807094008,1.20266464,9.76909937,2.626036329,12.30881156,12.60439604,11.60739728,9.157182235,9.101520077,0.9,0.18,1.8000000000000005,24.766666666666666,3.109375
Sierra Leone,SLE,35.7,29.98,30.68,29.5,39.75,92.9,93.4,0.3,0.3,6.15,16.02954477,14.80499909,13.44687111,11.87395888,27.20828838,15.96166667,17.96666667,17.93833333,18.85916667,19.31333333,54.0,0.16,1.4000000000000004,18.6,3.05
Singapore,SGP,32.13333333333333,27.72,28.52,27.700000000000003,39.715625,61.93333333333334,62.266666666666666,0.2,0.2,4.1,0.438620118,0.565260569,-0.181916667,2.30485959,6.12106004,5.33,5.25,5.25,5.25,17.81023809242857,36.06666666666666,0.14,1.0000000000000004,12.433333333333334,2.990625
Sint Maarten (Dutch part),SXM,28.566666666666663,25.46,26.36,25.9,39.68125,30.96666666666667,31.133333333333333,0.0999999999999999,0.0999999999999999,2.05,1.4763286235,1.6149109515000002,0.8775122999999999,2.7272329445,9.4476032,6.6846629525,6.5862892575,6.608142685,5.23142714725,16.30714285485714,18.133333333333333,0.12,0.6000000000000005,6.266666666666666,2.9312500000000004
Slovak Republic,SVK,25.0,23.2,24.2,24.1,39.646875,0.0,0.0,0.0,0.0,0.0,2.514037129,2.664561334,1.936941267,3.149606299,12.77414636,8.039325905,7.922578515,7.96628537,5.2128542945,14.804047617285711,0.2,0.1,0.2,0.1,2.871875
Slovenia,SVN,24.6,24.4,24.0,24.3,39.6125,0.0,0.0,0.0,0.0,0.0,1.73860862,1.630522608,-0.054856816,1.917065061,8.833698867,9.3939888575,9.2588677725,9.324428054999998,5.19428144175,13.300952379714284,0.0,0.0,0.0,0.0,2.8125
Solomon Islands,SLB,26.62,26.38,26.18,26.22,39.578125,54.7,54.8,62.0,59.9,57.8,3.46147485,1.63485544,2.963549921,-0.115437894,5.518129286,10.74865181,10.59515703,10.68257074,5.175708589,11.797857142142856,0.78,0.72,0.8400000000000001,0.6599999999999999,2.753125
Somalia,SOM,28.64,28.36,28.36,28.14,39.54375,39.75,44.55,47.55,46.1,44.95,3.989320039,2.877550655,3.086792948,2.2481171420000003,6.2789279495,10.41599257,10.360078515,9.1954520365,6.108687628,10.294761904571429,1.56,1.44,1.6800000000000002,1.3199999999999998,2.69375
South Africa,ZAF,30.660000000000004,30.34,30.54,30.06,39.509375,24.8,34.3,33.1,32.3,32.1,4.517165228,4.12024587,3.210035975,4.611672178,7.039726613,10.08333333,10.125,7.708333333,7.041666667,8.791666667,2.34,2.16,2.5200000000000005,1.98,2.6343750000000004
South Sudan,SSD,32.68000000000001,32.32,32.72,31.98,39.475,12.5,17.25,16.7,16.299999999999997,16.15,83.50152949,87.24136415,29.67584355,10.51671583,-6.687320942,16.18268559,15.65470531,16.08961748,16.08848271,16.29349646,3.12,2.88,3.3600000000000003,2.64,2.575
Spain,ESP,34.7,34.3,34.9,33.9,39.440625,0.2,0.2,0.3,0.3,0.2,1.674981369,0.699518994,-0.322753017,3.09313512,8.390576341,13.86842613,13.44943599,13.27660232,13.10719489,13.212371279,3.9,3.6,4.2,3.3,2.515625
Sri Lanka,LKA,34.112500000000004,37.7,34.15,33.3875,39.40625,11.266666666666664,25.2,27.2,26.6,30.3,2.135037737,3.528393582,6.153945084,7.014780712,49.72110211,11.55416667,11.24416667,10.46358716,10.12590707,10.131246098000002,3.65,1.1,3.975,3.075,2.45625
St. Kitts and Nevis,KNA,33.525000000000006,36.5,33.4,32.875,39.371875,22.33333333333333,33.86,35.96,35.86,39.14,-1.037122141,-0.329562064,-1.167245018,1.19568887,2.668175331,8.857920167,8.523423083,7.650572,7.14461925,7.050120917,3.4,1.3,3.75,2.85,2.396875
St. Lucia,LCA,32.9375,35.300000000000004,32.65,32.3625,39.337500000000006,33.4,42.52,44.72,45.120000000000005,47.98,1.935618932,0.539087559,-1.755808335,2.410703122,6.378146951,8.110115917,7.722479833,7.13469175,6.757424167,6.5128745,3.15,1.5,3.5250000000000004,2.625,2.3375000000000004
St. Martin (French part),MAF,32.35,34.1,31.9,31.85,39.303125,44.46666666666666,51.18,53.48,54.38000000000001,56.82,2.129881893,0.726078642,-1.191969822,1.9917162235,6.0191223715,8.2979185835,8.036924625000001,7.5628188335,7.203855583499999,6.952431499999999,2.9,1.7000000000000002,3.3,2.4,2.278125
St. Vincent and the Grenadines,VCT,31.762500000000003,32.9,31.15,31.3375,39.26875,55.53333333333333,59.84,62.24,63.64000000000001,65.66,2.324144854,0.913069725,-0.628131309,1.572729325,5.660097792,8.48572125,8.351369417,7.990945917,7.650287,7.3919885,2.65,1.9,3.075,2.175,2.21875
Sudan,SDN,31.175,31.700000000000003,30.4,30.825,39.234375,66.6,68.5,71.0,72.9,74.5,63.29250735,50.9940515,163.2577824,359.0930408,138.8084602,11.39241811,11.6577944035,11.3935524785,11.26939732,11.070240675,2.4,2.1,2.85,1.95,2.159375
Suriname,SUR,30.5875,30.5,29.65,30.3125,39.2,33.3,34.25,35.5,36.45,37.25,32.623021325500005,26.389101237,34.88978431,59.11966263,52.44602728,14.29911497,14.96421939,14.79615904,14.88850764,14.74849285,2.15,2.3,2.625,1.725,2.1
Sweden,SWE,30.0,29.3,28.9,29.8,35.0,0.0,0.0,0.0,0.0,0.0,1.953535301,1.784150974,0.497367319,2.163197364,8.369290989,8.4632702815,8.798571285000001,8.715502872,8.764182477,8.697608293,1.9,2.5,2.4,1.5,2.0700000000000003
Switzerland,CHE,33.1,34.0,33.7,30.82,30.800000000000004,0.1,0.0,0.0,0.0,0.0,0.936335464,0.36288618,-0.725874933,0.581814168,2.835027986,2.627425593,2.63292318,2.634846704,2.639857314,2.646723736,0.2,0.3,0.1,1.22,2.04
Syrian Arab Republic,SYR,35.56666666666667,34.225,34.025000000000006,31.84,26.6,58.9,42.6,75.2,36.6,40.75,1.789043139,1.3966843133333335,0.6128469206666667,1.6181826413333331,3.3401093383333333,14.9081110265,13.0913152,7.316409172666666,2.7448929855,2.76962613525,18.33333333333333,0.275,0.125,0.94,2.01
Tajikistan,TJK,38.03333333333333,34.45,34.35,32.86,27.46470588235294,77.2,75.8,74.7,73.2,81.5,2.641750814,2.430482446666667,1.9515687743333332,2.654551114666666,3.845190690666666,27.18879646,23.54970722,11.997971641333333,2.849928657,2.8925285345,36.46666666666667,0.25,0.15,0.6600000000000001,1.98
Tanzania,TZA,40.5,34.675,34.675,33.879999999999995,28.329411764705885,91.4,91.5,42.05,41.25,44.9,3.494458489,3.46428058,3.290290628,3.690919588,4.350272043,17.41416667,16.97083333,16.67953411,2.9549643285,3.01543093375,54.6,0.225,0.175,0.3800000000000001,1.95
Thailand,THA,36.4,34.9,35.0,34.9,29.194117647058825,11.3,9.2,9.4,9.3,8.3,1.063897542,0.706728601,-0.845937147,1.230395413,6.077412284,4.146666667,4.084166667,3.2925,3.06,3.138333333,0.2,0.2,0.2,0.1,1.92
Timor-Leste,TLS,39.45,36.38333333333333,36.333333333333336,36.4,30.058823529411764,43.45,41.95,42.15,40.55,40.650000000000006,2.29424307,0.95881274,0.4266737429999999,2.708305239,7.02249295,13.45630144,15.36218033,14.1277355,11.15983557,11.00449208,23.35,0.25,0.25,22.0,1.89
Togo,TGO,42.5,37.86666666666667,37.66666666666666,37.9,30.923529411764704,75.6,74.7,74.9,71.8,73.0,0.927755426,0.67465277,1.699284633,4.186215065,7.967573616,10.747210065,11.713978235,10.97815901,9.458288394,9.431849355,46.5,0.3,0.3,43.9,1.86
Tonga,TON,42.475,39.35,39.0,27.1,31.788235294117648,51.93333333333332,52.66666666666667,52.83333333333334,50.7,51.43333333333334,5.03209692,1.179543348,-0.349737697,5.640511406,10.97136529,8.03811869,8.06577614,7.82858252,7.756741218,7.85920663,34.975,0.35,0.35,0.0,1.83
Trinidad and Tobago,TTO,42.45,40.83333333333333,40.333333333333336,30.4,32.65294117647059,28.26666666666666,30.633333333333333,30.766666666666676,29.6,29.866666666666667,1.018569302,1.00054293,0.598986331,2.059227469,5.828386385,9.09375,9.25,6.555,7.4375,7.489583333,23.45,0.4,0.4,0.2,1.8
Tunisia,TUN,42.425,42.31666666666666,41.66666666666666,33.7,33.51764705882353,4.6,8.6,8.7,8.5,8.3,7.30759176,6.720075329,5.634151159,5.706350208,8.306461244,10.885884785,10.760244047142857,7.660342857142857,8.273872618571428,9.078130952571428,11.924999999999995,0.4499999999999999,0.4499999999999999,0.4,1.77
Turkiye,TUR,42.4,43.8,43.0,44.4,34.38235294117647,21.6,24.64,24.8,24.58,24.34,16.3324639,15.17682157,12.27895745,19.59649269,72.30883599,12.67801957,12.270488094285714,8.765685714285715,9.110245237142856,10.666678572142857,0.4,0.5,0.5,0.5,1.74
Turkmenistan,TKM,39.14,43.525,39.52,42.68571428571428,35.247058823529414,38.6,40.68,40.900000000000006,40.66,40.38,12.9033509025,12.099513186,10.03754881125,15.2485125295,56.0305742075,14.470154355,13.780732141428572,9.871028571428573,9.946617855714283,12.255226191714286,0.5,13.425,0.74,0.5125,1.71
Turks and Caicos Islands,TCA,35.88,43.25,36.04,40.97142857142857,36.11176470588235,55.6,56.72,57.0,56.74000000000001,56.42,9.474237905,9.022204802,7.7961401725,10.900532369,39.752312425,16.26228914,15.290976188571427,10.97637142857143,10.782990474285716,13.843773811285716,0.6,26.35,0.98,0.525,1.68
Tuvalu,TUV,32.620000000000005,42.975,32.56,39.25714285714285,36.976470588235294,72.6,72.75999999999999,73.10000000000001,72.82000000000001,72.46,6.0451249075,5.944896418000001,5.554731533750001,6.5525522085,23.4740506425,18.054423925,16.801220235714286,12.081714285714286,11.619363092857142,15.432321430857144,0.7,39.275000000000006,1.22,0.5375,1.65
Uganda,UGA,29.36,42.7,29.08,37.54285714285714,37.84117647058823,89.6,88.8,89.2,88.9,88.5,2.61601191,2.867588034,3.313322895,2.204572048,7.19578886,19.84655871,18.311464282857145,13.187057142857142,12.45573571142857,17.020869050428573,0.8,52.2,1.46,0.55,1.62
Ukraine,UKR,26.1,26.6,25.6,35.82857142857143,38.70588235294117,5.5,4.2,3.3,2.6,4.4,10.95185594,7.886717456,2.732492094,9.363139177,20.18363666,19.004875,19.82170833,14.2924,13.29210833,18.60941667,0.8999999999999999,1.4,1.7,0.5625,1.59
United Arab Emirates,ARE,26.4,29.7,29.1,34.114285714285714,39.57058823529411,0.0,0.0,0.0,0.0,0.1,3.068633793,-1.931081148,-2.079403179,-0.013859944,4.827888596,14.304638889,14.975305553333332,10.709655555666666,9.944738886666666,16.673403060000002,1.0,1.3,1.3,0.575,1.56
United Kingdom,GBR,33.7,32.8,32.6,32.4,40.435294117647054,0.0,0.0,0.0,0.0,0.0,2.292839903,1.738104601,0.989486704,2.518371096,7.922048831,9.604402778,10.128902776666663,7.1269111113333325,6.597369443333333,14.737389450000002,1.1,1.2,0.9,0.5875,1.53
United States,USA,41.4,41.5,39.7,39.7,41.3,0.4,0.4,0.3,0.2,0.2,2.442583297,1.812210075,1.233584396,4.697858864,8.002799821,4.904166667,5.2825,3.544166667,3.25,12.80137584,1.2,1.1,0.5,0.6,1.5
Uruguay,URY,39.7,39.7,40.2,40.8,40.6,10.2,8.533333333333335,8.700000000000001,10.466666666666669,8.833333333333334,7.606533604,7.881988709,9.756406361,7.747914023,9.104379831,12.20118474,11.55718506,11.23125945,7.450648208,10.86536223,0.1,0.1,0.64,0.1,0.2
Uzbekistan,UZB,38.7,36.0,39.35,40.8,31.2,20.0,16.666666666666668,17.1,20.73333333333333,17.46666666666667,17.52417965,14.52573596,12.86772974,10.84923975,11.4466437,19.96562216,23.60606748,22.34105103,21.42308585,21.74611546,0.575,9.999999999999998,0.78,0.1,2.3
Vanuatu,VUT,37.7,32.3,38.5,40.8,32.833333333333336,29.8,24.8,25.5,31.0,26.1,2.330963796,2.762520194,5.329350731,2.343283582,6.679305819,10.18166667,10.04583333,9.760833333,9.333333333,8.805833333,1.05,19.9,0.92,0.1,1.9666666666666663
"Venezuela, RB",VEN,36.7,34.55,37.65,40.8,34.46666666666667,14.2,14.2,14.2,14.6,15.2,2.9352959275,2.7791719345,4.275142549,2.088999565,4.9179066595,8.776770835,8.876666665,8.7041666665,8.5721666665,8.409583333,1.525,22.7125,1.06,0.1,1.6333333333333333
Viet Nam,VNM,35.7,36.8,36.8,40.8,36.1,18.0282336025,17.414459927499998,17.78380938,17.1528414775,17.7481644625,3.539628059,2.795823675,3.220934367,1.834715548,3.1565075,7.371875,7.7075,7.6475,7.811,8.013333333,2.0,25.525,1.2,0.1,1.3
Virgin Islands (U.S.),VIR,35.7,39.05,36.8,40.8,39.18,21.856467205,20.628919855,21.36761876,19.705682955,20.296328925,1.6722601425,2.1880035055,1.242801183,1.5360982879999998,3.4488657095,6.622418019,6.819730356499999,6.582403287,6.6831212485,28.646666660833333,2.0,28.3375,1.2,0.1,14.340000000000002
West Bank and Gaza,PSE,35.7,41.3,36.8,40.8,42.26,25.6847008075,23.8433797825,24.95142814,22.2585244325,22.8444933875,-0.195107774,1.580183336,-0.735332001,1.237481028,3.741223919,5.872961038,5.931960713,5.517306574,5.555242497,49.27999998866667,2.0,31.15,1.2,0.1,27.380000000000003
World,WLD,35.7,43.55,36.8,40.8,45.34,29.51293441,27.05783971,28.53523752,24.81136591,25.39265785,2.450362439,2.206073058,1.920968006,3.466925853,7.967573616,7.179196247666666,7.385196032,6.837926605,15.53559854025,69.9133333165,2.0,33.9625,1.2,0.1,40.42
"Yemen, Rep.",YEM,35.7,45.8,36.8,40.8,48.42,83.7,84.5,85.2,85.9,86.5,4.972467183,5.678194750499999,8.827014238,12.7438467365,9.480388768,8.485431457333332,8.838431351,8.158546636,25.5159545835,90.54666664433334,2.0,36.775,1.2,0.1,53.46
Zambia,ZMB,35.7,48.05,36.8,40.8,51.5,83.7,84.5,85.2,85.9,86.5,7.494571927,9.150316443,15.73306047,22.02076762,10.99320392,9.791666667,10.29166667,9.479166667,35.49631062675,111.17999997216668,2.0,39.5875,1.2,0.1,66.5
Zimbabwe,ZWE,35.7,50.3,36.8,40.8,51.5,83.7,84.5,85.2,85.9,86.5,10.61886587,255.3049908,557.2018174,98.54610509,104.7051706,7.131666667,16.18166667,33.00833333,45.47666667,131.8133333,2.0,42.4,1.2,0.1,66.5
