Country Name,Country Code,"Immunization, DPT (% of children ages 12-23 months)_2018","Immunization, DPT (% of children ages 12-23 months)_2019","Immunization, DPT (% of children ages 12-23 months)_2020","Immunization, DPT (% of children ages 12-23 months)_2021","Immunization, DPT (% of children ages 12-23 months)_2022",Current health expenditure (% of GDP)_2018,Current health expenditure (% of GDP)_2019,Current health expenditure (% of GDP)_2020,Current health expenditure (% of GDP)_2021,Current health expenditure (% of GDP)_2022,Out-of-pocket expenditure (% of current health expenditure)_2018,Out-of-pocket expenditure (% of current health expenditure)_2019,Out-of-pocket expenditure (% of current health expenditure)_2020,Out-of-pocket expenditure (% of current health expenditure)_2021,Out-of-pocket expenditure (% of current health expenditure)_2022,"Immunization, measles (% of children ages 12-23 months)_2018","Immunization, measles (% of children ages 12-23 months)_2019","Immunization, measles (% of children ages 12-23 months)_2020","Immunization, measles (% of children ages 12-23 months)_2021","Immunization, measles (% of children ages 12-23 months)_2022","Life expectancy at birth, total (years)_2018","Life expectancy at birth, total (years)_2019","Life expectancy at birth, total (years)_2020","Life expectancy at birth, total (years)_2021","Life expectancy at birth, total (years)_2022","Survival to age 65, male (% of cohort)_2018","Survival to age 65, male (% of cohort)_2019","Survival to age 65, male (% of cohort)_2020","Survival to age 65, male (% of cohort)_2021","Survival to age 65, male (% of cohort)_2022","Survival to age 65, female (% of cohort)_2018","Survival to age 65, female (% of cohort)_2019","Survival to age 65, female (% of cohort)_2020","Survival to age 65, female (% of cohort)_2021","Survival to age 65, female (% of cohort)_2022"
Afghanistan,AFG,72.0,72.0,70.0,66.0,69.0,14.20841885,14.83131981,15.53361416,21.82794952,,76.22302246,76.818367,74.81396484,77.21405029,,71.0,64.0,66.0,63.0,68.0,63.081,63.565,62.575,61.982,62.879,54.647829,55.972735,53.562234,51.520426,52.99077,68.448803,68.843426,65.799993,65.217377,66.852465
Albania,ALB,99.0,99.0,98.0,98.0,97.0,6.66844559,6.86214113,7.51920271,7.26731825,,56.41465378,56.41222382,59.39613342,59.70423508,,94.0,95.0,91.0,87.0,86.0,79.184,79.282,76.989,76.463,76.833,85.765544,86.047386,81.703058,80.5539,81.240663,91.939293,91.975256,90.241719,89.363323,89.707203
Algeria,DZA,91.0,88.0,84.0,81.0,77.0,6.38729763,5.86751413,6.14268684,5.5283432,,31.57363319,35.46131516,37.33710861,38.53033829,,80.0,80.0,80.0,79.0,79.0,76.066,76.474,74.453,76.377,77.129,82.77979,83.123122,79.880051,82.687117,84.018003,86.97482,87.58892,85.163215,87.70347,88.46934
American Samoa,ASM,95.0,93.5,91.5,90.0,87.5,6.88135743,6.5953800650000005,7.464713095,6.93141842,,21.95597076,24.10178185,24.244093895,25.13421202,,89.5,89.5,89.0,89.0,88.5,71.42533333333333,71.79866666666666,70.38900000000001,71.46566666666666,72.06233333333334,72.356987,71.791526,72.321836,70.447406,72.375006,82.951049,82.835237,82.900723,85.086998,83.484592
Andorra,AND,99.0,99.0,99.0,99.0,98.0,7.37541723,7.323246,8.78673935,8.33449364,,12.33830833,12.74224854,11.15107918,11.73808575,,99.0,99.0,98.0,99.0,98.0,66.78466666666667,67.12333333333333,66.325,66.55433333333333,66.99566666666666,90.793387,90.825976,81.951861,84.126321,91.456135,94.634604,94.634604,91.74041,92.802338,94.899708
Angola,AGO,63.0,57.0,51.0,45.0,42.0,2.58879566,2.47517991,3.22070646,2.96010613,,36.2641983,33.0570755,27.72385979,23.413311,,50.0,51.0,44.0,36.0,37.0,62.144,62.448,62.261,61.643,61.929,53.916247,54.494128,53.166326,51.280449,52.233344,65.186505,65.323119,65.265071,63.523185,64.128014
Antigua and Barbuda,ATG,95.0,95.0,96.0,92.0,99.0,4.84869289,4.37567186,5.92146206,5.85133028,,23.66021156,24.26510048,21.96622849,19.15764618,,96.0,93.0,89.0,85.0,99.0,78.511,78.691,78.841,78.497,79.236,81.258541,81.73869,82.169251,82.547256,82.335097,88.9027,89.224613,89.525039,89.700867,89.522211
Argentina,ARG,86.0,83.0,74.0,81.0,81.0,10.29146862,10.04194355,10.34701538,9.70880699,,25.13258934,23.94149971,21.75679016,22.36627579,,94.0,86.0,77.0,86.0,83.0,76.999,77.284,75.892,75.39,76.064,77.969309,78.412194,76.217396,76.225132,77.204765,87.744382,88.20058,85.499563,85.105289,86.051875
Armenia,ARM,92.0,92.0,91.0,93.0,93.0,10.01,11.38,12.24,12.34,,84.28,84.79,77.85,78.66,,95.0,95.0,94.0,94.0,95.0,75.064,75.439,72.173,72.043,73.372,71.286835,72.177495,61.907449,60.444586,64.400285,88.967844,89.283305,84.736793,85.137742,86.906347
Aruba,ABW,93.5,93.5,93.0,94.0,93.5,10.034859545,10.799829905,11.4618684,11.44181959,,50.262136115,49.76198389,46.381321715,46.242486075,,94.5,94.5,93.5,93.5,95.5,76.072,76.248,75.723,74.626,74.992,79.37593,79.775203,79.239306,77.12472,77.732104,88.851646,89.079338,88.536413,86.845804,87.367715
Australia,AUS,95.0,95.0,95.0,95.0,94.0,10.05971909,10.21965981,10.6837368,10.54363918,,16.24427223,14.73396778,14.91264343,13.82497215,,94.0,94.0,93.0,93.0,96.0,82.74878049,82.9,83.2,83.3,83.2,88.827328,88.147374,92.231287,92.926574,89.287141,93.234961,92.968392,94.398383,94.804253,93.468752
Austria,AUT,85.0,85.0,85.0,86.0,84.0,10.35,10.49,11.39,12.1,,18.43,17.92,16.65,15.78,,94.0,95.0,95.0,99.0,95.0,81.69268293,81.89512195,81.19268293,81.1902439,81.09268293,87.028248,87.575718,87.392972,86.806294,88.047364,92.823711,93.073777,93.234139,93.190064,93.368196
Azerbaijan,AZE,95.0,94.0,79.0,89.0,83.0,3.84,4.18,5.85,4.7,,73.39,71.34,57.83,66.03,,96.0,98.0,82.0,93.0,93.0,72.76,73.102,66.868,69.366,73.488,72.377426,73.381106,54.801393,59.929412,73.805811,84.487136,84.629933,75.30816,79.148777,85.227334
"Bahamas, The",BHS,90.0,89.0,83.0,86.0,87.0,5.98263836,5.82275152,7.64700842,7.13872051,,27.65998459,26.66314316,21.76495934,24.45867538,,89.0,83.0,87.0,82.0,80.0,73.806,71.205,72.677,71.598,74.358,68.749512,66.493093,66.921059,65.068436,69.699465,81.654911,76.124187,80.47779,78.767513,82.361763
Bahrain,BHR,99.0,99.0,98.0,98.0,97.0,4.12745667,3.95980334,4.71684837,4.26834059,,30.00357628,29.97935486,26.246315,23.04768944,,99.0,99.0,99.0,99.0,99.0,79.857,80.019,79.174,78.76,79.246,89.03996,89.279293,88.873736,88.530469,88.975244,91.216093,91.342486,90.909328,90.602161,90.986158
Bangladesh,BGD,98.0,98.0,98.0,98.0,98.0,2.31622243,2.25762248,2.27063942,2.36492991,,70.67902374,72.05020905,74.00198364,72.9874649,,97.0,97.0,97.0,97.0,97.0,72.567,72.806,71.968,72.381,73.698,74.908517,74.527276,74.108198,72.618675,75.779057,82.063404,83.063248,79.535628,79.283337,84.183563
Barbados,BRB,95.0,90.0,85.0,82.0,86.0,6.45336485,6.20015001,7.37276554,8.09043312,,45.89333344,46.69363785,42.92656708,38.91783905,,85.0,92.0,89.0,77.0,85.0,77.067,77.257,77.393,77.571,77.706,81.149229,81.41558,81.647407,81.948644,82.145374,87.422863,87.597616,87.729218,87.913897,88.191229
Belarus,BLR,97.0,98.0,97.0,98.0,98.0,5.53,5.86,6.41,6.57,,25.45,25.69,24.77,21.93,,98.0,98.0,97.0,98.0,98.0,74.17560976,74.22682927,72.45721951,72.37068293,73.11146341,67.273839,65.941151,62.119369,62.091409,64.022337,88.17545,88.411635,87.053777,86.649695,87.443828
Belgium,BEL,98.0,97.0,97.0,98.0,98.0,10.86148262,10.79477787,11.19751263,11.04290771,,18.50161743,19.81006432,17.39719009,17.86028862,,96.0,96.0,96.0,96.0,96.0,81.59512195,81.99512195,80.69512195,81.7902439,81.69756098,86.81902,87.30219,86.595984,87.271875,87.758835,91.672636,92.063054,91.961813,92.423721,92.297342
Belize,BLZ,96.0,98.0,79.0,83.0,84.0,4.74657917,4.81374073,5.30974436,4.98043823,,23.39842224,23.06760979,21.30035591,22.75517654,,97.0,96.0,82.0,79.0,81.0,73.703,73.931,72.854,70.47,70.962,70.370146,70.837826,66.856005,62.177868,63.56649,83.313043,83.648442,80.282876,76.963548,78.216826
Benin,BEN,76.0,76.0,72.0,76.0,76.0,2.88632059,2.50914454,2.46970391,2.58129549,,45.57242584,50.89290237,51.408535,48.63362122,,68.0,68.0,65.0,68.0,68.0,60.14,60.454,60.088,59.821,59.954,55.830973,55.934755,54.645469,53.346483,53.415754,60.534504,61.360071,60.365681,60.019316,60.391285
Bermuda,BMU,86.5,86.5,83.5,87.0,87.0,3.064546345,3.056377645,3.416226265,3.21339786,,29.368115425,34.34166622,33.41659689,33.715867045,,82.5,82.5,79.0,82.5,82.5,80.825,81.033,81.136,79.28,81.571,84.436174,84.826671,84.991378,80.585566,85.613712,92.664782,92.986129,93.131362,90.589703,92.356583
Bhutan,BTN,97.0,97.0,95.0,98.0,98.0,3.2427721,3.60361075,4.36274862,3.84550023,,13.16380501,17.79043007,15.42465878,18.79811287,,97.0,97.0,93.0,97.0,97.0,71.129,71.391,71.609,71.815,72.229,72.890809,73.288371,73.596743,73.968716,74.600827,79.667994,80.210823,80.713338,81.115272,81.627458
Bolivia,BOL,83.0,75.0,68.0,70.0,69.0,6.60399437,6.88792992,8.0225811,8.15972805,,22.10827065,23.99159813,20.89839554,22.73787689,,89.0,79.0,74.0,75.0,69.0,67.748,67.841,64.467,63.63,64.928,63.624849,63.746767,51.991386,49.638002,53.673379,75.3157,75.399509,68.860077,66.245486,69.067848
Bosnia and Herzegovina,BIH,73.0,73.0,72.0,76.0,75.0,8.76,8.93,9.7,9.56,,29.31,29.35,28.86,30.71,,68.0,65.0,61.0,61.0,58.0,77.093,77.241,76.225,75.3,75.293,82.391557,82.988013,81.113012,79.435279,79.470825,90.221683,90.473467,89.535103,88.356949,88.316855
Botswana,BWA,95.0,95.0,95.0,95.0,86.0,6.04010344,6.12193203,6.1213398,6.30929565,,5.10579157,4.49591017,4.9515481,4.30253553,,97.0,97.0,87.0,97.0,90.0,65.422,65.464,65.647,61.141,65.913,57.896638,56.585592,56.744331,45.054326,57.261511,66.825838,67.976038,68.300882,58.194801,68.821925
Brazil,BRA,87.0,70.0,77.0,68.0,77.0,9.46475029,9.61449146,10.18235016,9.89072323,,24.82529449,24.87984657,22.77106476,22.65208626,,92.0,91.0,79.0,73.0,81.0,75.109,75.338,74.009,72.75,73.425,75.231526,75.710605,72.521676,69.33594,71.100394,87.025483,87.320993,84.615778,81.414878,82.974848
British Virgin Islands,VGB,93.0,84.5,88.0,83.5,88.0,5.93882203,5.90430045,6.2878474,6.04779494,,14.8418231,15.23623204,14.362434625,14.69953704,,95.5,94.0,89.0,86.0,89.0,75.831,75.863,75.849,74.494,76.373,79.862864,79.856637,79.848065,77.273904,80.653162,89.041172,89.037362,88.962384,87.057838,89.562356
Brunei Darussalam,BRN,99.0,99.0,99.0,99.0,99.0,2.41289377,2.19410944,2.39334464,2.20486665,,4.85835171,5.59261751,5.95380449,6.74698782,,99.0,97.0,99.0,99.0,97.0,74.712,74.748,74.795,74.642,74.551,77.034449,77.165098,77.295191,77.456628,77.29723,84.255029,84.3614,84.489158,84.598772,84.481022
Bulgaria,BGR,92.0,93.0,91.0,89.0,91.0,7.33,7.09,8.48,8.56,,40.52,38.97,36.58,35.07,,93.0,95.0,88.0,89.0,91.0,74.96341463,75.11219512,73.65853659,71.46341463,74.36097561,71.68673,71.804344,68.773719,65.379498,65.003225,86.190437,86.769813,85.353759,82.310032,81.667078
Burkina Faso,BFA,91.0,91.0,91.0,91.0,91.0,5.0057807,5.31868935,6.50193262,6.37691164,,35.83074951,34.69356155,34.64083481,34.64732361,,88.0,88.0,88.0,88.0,88.0,60.047,60.039,59.731,59.27,59.766,54.246291,53.816967,51.916905,50.69926,51.50119,62.626894,62.682457,61.683791,59.906184,60.761825
Burundi,BDI,90.0,93.0,93.0,94.0,91.0,7.29396152,9.05010796,10.71837234,9.10190964,,27.11566162,22.21640587,20.45733452,25.36169243,,88.0,92.0,90.0,90.0,89.0,61.688,62.351,61.566,61.663,61.977,55.409225,56.284806,53.673836,53.964584,54.57275,62.860168,64.306989,62.55873,62.255377,62.685038
Cabo Verde,CPV,98.0,96.0,93.0,93.0,93.0,4.73804712,4.56319857,6.12421703,6.90378904,,26.11138153,27.09781456,20.83621979,18.51521492,,99.0,98.0,95.0,95.0,95.0,75.733,76.004,74.808,74.052,74.722,73.607101,73.901907,71.319418,69.713767,71.336331,88.598303,88.970228,87.959723,87.154545,87.803803
Cambodia,KHM,89.0,88.0,87.0,87.0,85.0,6.06630135,6.84972715,7.11156559,7.53223085,,60.96880341,64.39125061,62.05238342,54.93772888,,87.0,87.0,83.0,83.0,83.0,70.561,70.692,70.416,69.584,69.896,69.974848,70.239152,69.407485,66.926736,67.58666,78.619083,78.740464,78.47076,77.663923,78.241013
Cameroon,CMR,67.0,67.0,69.0,69.0,68.0,3.61970162,3.65157914,3.77177453,3.82407379,,72.26169586,72.18878174,68.30715179,66.91696167,,59.0,60.0,62.0,62.0,65.0,61.18,61.584,60.833,60.333,60.958,53.445797,54.517663,51.445729,50.293579,51.512169,60.245438,60.423145,59.436921,57.69876,58.645492
Canada,CAN,91.0,91.0,92.0,92.0,92.0,10.90542507,11.00887775,13.0351181,12.3341074,11.15471363,15.59457874,15.45603371,13.77592468,14.02343464,14.88593388,90.0,90.0,90.0,90.0,92.0,81.84390244,82.22390244,81.6604878,81.58707317,81.29560976,87.020919,87.415997,87.50366,88.46397,88.183391,91.83623,92.046647,91.972007,92.558089,92.395711
Cayman Islands,CYM,66.5,66.5,67.0,67.0,67.0,10.951001645,9.38506269,11.010249135,10.70132017,10.72409687,28.633654115,38.007130625,31.725715635,31.49551058,17.866525654,65.5,65.5,65.5,65.5,66.5,68.10645122,68.62445122,68.13224389999999,82.0097561,67.88630488,77.007908,77.088516,77.102355,77.041676,77.917766,84.383531,84.528306,84.683319,84.795344,85.245768
Central African Republic,CAF,42.0,42.0,42.0,42.0,42.0,10.99657822,7.76124763,8.98538017,9.06853294,10.29348011,41.67272949,60.55822754,49.67550659,48.96758652,20.847117428,41.0,41.0,41.0,41.0,41.0,54.369,55.025,54.604,53.895,54.477,39.761484,40.832801,38.40694,36.412734,37.306559,48.130734,48.783622,47.407528,46.205341,46.99572
Chad,TCD,46.0,50.0,52.0,58.0,60.0,4.56768799,4.59277868,5.53655243,5.19022274,9.86286335,64.376091,63.66061783,60.54256439,58.78679276,23.827709202,42.0,41.0,47.0,55.0,56.0,52.825,53.259,52.777,52.525,52.997,42.689986,43.010705,41.026449,39.793507,40.462422,48.765319,49.657066,47.982932,47.194982,47.92527
Channel Islands,CHI,70.5,73.0,72.5,76.5,78.0,6.896719935,6.977699995,7.631910325,7.26675129,9.43224659,48.811408995,48.23032379,44.931651115,44.526515965,26.808300976,67.5,68.0,69.0,73.5,75.0,81.375,81.39,81.264,81.232,81.583,88.956692,89.0256,88.883435,88.850192,89.307696,93.140951,93.120811,93.028675,93.001784,93.228469
Chile,CHL,95.0,96.0,93.0,95.0,96.0,9.22575188,9.36262131,9.72726822,9.34327984,9.00162983,33.24672699,32.80002975,29.32073784,30.26623917,29.78889275,93.0,95.0,91.0,92.0,94.0,80.133,80.326,79.377,78.944,79.519,83.636773,83.895709,82.691932,81.17719,82.483579,90.275067,90.448502,89.808639,88.957827,89.50858
China,CHN,99.0,99.0,99.0,99.0,99.0,5.16790485,5.3502779,5.59359741,5.38360548,9.039965996923078,35.75065613,35.23002243,34.791008,34.39476395,28.492054846153845,99.0,99.0,99.0,99.0,99.0,77.744,77.968,78.077,78.211,78.587,81.393775,81.781895,81.903129,82.272771,82.805894,90.058264,90.228562,90.481335,90.671103,90.781947
Colombia,COL,92.0,94.0,88.0,86.0,87.0,7.62541437,7.77954912,8.71432114,9.01772404,9.078302163846155,15.1307478,14.73766041,14.50628376,13.66964531,27.19521694230769,95.0,95.0,90.0,86.0,88.0,76.748,76.752,74.769,72.83,73.659,79.186051,79.119719,75.072249,69.560862,71.919309,87.895772,87.916228,85.747833,82.22291,83.716544
Comoros,COM,91.0,91.0,91.0,91.0,88.0,4.90318584,5.18044472,5.86521959,6.33513117,9.11663833076923,67.24486542,61.82796478,61.66526031,55.56960678,25.89837903846153,90.0,90.0,90.0,90.0,86.0,63.912,64.068,64.166,63.417,63.68,58.279458,58.498814,57.95185,55.922568,56.690941,68.187757,68.234938,68.70467,66.811497,67.365143
"Congo, Dem. Rep.",COD,71.0,73.0,70.0,65.0,65.0,3.24127173,3.508039,4.05092573,3.7859261,9.154974497692308,41.61063766,38.49700546,39.71793747,39.12869644,24.601541134615385,64.0,65.0,62.0,55.0,56.0,59.942,60.276,59.739,59.193,59.743,53.996539,54.238348,52.348119,50.051559,50.966608,61.04112,61.831292,60.385997,59.519162,60.390727
"Congo, Rep.",COG,75.0,79.0,73.0,77.0,78.0,1.8976357,2.54176092,4.39382887,3.87537813,9.193310664615383,50.25749588,42.17203903,25.19023323,24.07517624,23.30470323076923,75.0,73.0,68.0,68.0,65.0,64.053,62.747,63.785,63.519,63.053,57.699195,54.719955,55.719548,55.46341,55.03218,62.9762,61.484853,63.235629,61.996892,61.761608
Costa Rica,CRI,94.0,95.0,97.0,93.0,95.0,7.28587723,7.22124958,7.8254571,7.56881428,9.231646831538464,22.4164257,22.32456398,20.28676224,20.74214363,22.00786532692308,94.0,95.0,95.0,89.0,90.0,79.484,79.427,79.277,77.023,77.32,83.278961,83.407979,83.51001,80.131838,80.485755,90.956925,90.916154,91.045333,88.823757,89.041916
Cote d'Ivoire,CIV,84.0,81.0,75.0,76.0,76.0,3.0916779,3.21496511,3.62587261,3.13269377,9.269982998461538,39.2853241,37.26046371,31.99206734,32.34332657,20.71102742307692,75.0,73.0,66.0,68.0,65.0,58.849,59.319,59.032,58.598,58.916,49.666698,50.033805,48.813243,47.493504,48.288605,51.690427,52.972018,52.187348,51.003362,51.815062
Croatia,HRV,93.0,94.0,94.0,92.0,92.0,6.75,6.8,7.72,8.1,9.308319165384615,11.39,11.46,10.45,9.4,19.414189519230767,93.0,93.0,91.0,89.0,90.0,78.07073171,78.42439024,77.72439024,76.42439024,77.57560976,81.307984,82.388662,81.413419,80.307193,82.869401,91.803679,92.090442,91.611174,91.856808,92.411465
Cuba,CUB,99.0,99.0,99.0,99.0,99.0,11.0184288,11.08496857,12.48639679,13.78727818,9.346655332307693,11.17386532,10.85016251,8.92000961,8.39371872,18.117351615384614,99.0,99.0,98.0,99.0,99.0,77.496,77.611,77.567,73.683,78.155,79.149882,79.108991,79.063669,72.85917,80.287386,87.330708,87.107112,87.522157,82.441064,87.964759
Curacao,CUW,99.0,97.5,97.5,97.5,97.5,8.9242144,9.077484285,10.448198395,11.60863909,9.38499149923077,27.76693266,22.290081255,13.345004805,9.15685936,16.82051371153846,94.5,92.5,92.0,92.5,92.5,79.439,79.504,79.479,77.44300000000001,80.02199999999999,76.962292,76.947254,76.863034,75.692612,77.902969,89.568568,89.61348,89.604593,88.700428,90.054893
