Country Name,Country Code,"Immunization, DPT (% of children ages 12-23 months)_2018","Immunization, DPT (% of children ages 12-23 months)_2019","Immunization, DPT (% of children ages 12-23 months)_2020","Immunization, DPT (% of children ages 12-23 months)_2021","Immunization, DPT (% of children ages 12-23 months)_2022",Current health expenditure (% of GDP)_2018,Current health expenditure (% of GDP)_2019,Current health expenditure (% of GDP)_2020,Current health expenditure (% of GDP)_2021,Current health expenditure (% of GDP)_2022,Out-of-pocket expenditure (% of current health expenditure)_2018,Out-of-pocket expenditure (% of current health expenditure)_2019,Out-of-pocket expenditure (% of current health expenditure)_2020,Out-of-pocket expenditure (% of current health expenditure)_2021,Out-of-pocket expenditure (% of current health expenditure)_2022,"Immunization, measles (% of children ages 12-23 months)_2018","Immunization, measles (% of children ages 12-23 months)_2019","Immunization, measles (% of children ages 12-23 months)_2020","Immunization, measles (% of children ages 12-23 months)_2021","Immunization, measles (% of children ages 12-23 months)_2022","Life expectancy at birth, total (years)_2018","Life expectancy at birth, total (years)_2019","Life expectancy at birth, total (years)_2020","Life expectancy at birth, total (years)_2021","Life expectancy at birth, total (years)_2022","Survival to age 65, male (% of cohort)_2018","Survival to age 65, male (% of cohort)_2019","Survival to age 65, male (% of cohort)_2020","Survival to age 65, male (% of cohort)_2021","Survival to age 65, male (% of cohort)_2022","Survival to age 65, female (% of cohort)_2018","Survival to age 65, female (% of cohort)_2019","Survival to age 65, female (% of cohort)_2020","Survival to age 65, female (% of cohort)_2021","Survival to age 65, female (% of cohort)_2022"
Rwanda,RWA,97.0,98.0,91.0,88.0,98.0,6.69894743,6.34386826,7.47530079,7.32305002,10.09941176470588,11.8659668,12.1073637,10.27080822,10.13342953,45.95,99.0,96.0,94.0,87.0,96.0,66.251,66.437,66.774,66.072,67.129,59.838837,60.080768,60.363683,58.966639,61.199241,69.722837,70.042034,71.09718,69.210168,71.350829
Samoa,WSM,44.0,68.0,89.0,85.0,76.0,4.77439356,5.63886738,6.18895578,6.80313492,9.995294117647058,12.98148251,11.17468166,10.83402157,11.1886692,45.95,40.0,96.0,66.0,62.0,82.0,72.636,72.157,72.768,72.767,72.598,72.600499,71.691269,72.748103,72.769987,72.480056,82.421448,81.495747,82.552332,82.615929,82.44981
San Marino,SMR,90.0,88.0,89.0,90.0,92.0,8.2778492,8.14801598,8.48147392,7.97527838,9.891176470588237,11.11235237,11.22083473,10.25551033,11.85579014,45.95,89.0,86.0,90.0,89.0,91.0,70.49549999999999,70.34,70.2765,70.179,70.696,92.053963,92.047891,84.837314,86.691369,92.538836,94.393129,94.388979,91.656546,92.715488,94.659276
Sao Tome and Principe,STP,95.0,95.0,96.0,97.0,97.0,5.50957823,5.29584646,7.30042553,7.82528496,9.787058823529412,15.81694221,16.99124527,11.84764099,11.65572834,45.95,95.0,95.0,86.0,77.0,77.0,68.355,68.523,67.785,67.591,68.794,60.806094,61.048201,59.201799,59.316284,61.478366,73.91515,74.08204,72.667195,71.685682,74.624044
Saudi Arabia,SAU,96.0,96.0,95.0,97.0,98.0,5.34063101,5.46742678,6.64629889,5.96836901,9.682941176470589,15.89835358,11.40407372,10.08158016,10.15629482,45.95,98.0,95.0,96.0,98.0,98.0,77.212,77.304,76.239,76.936,77.905,83.257354,83.420512,81.63294,82.903805,84.329583,87.153359,86.973024,85.652908,86.638743,87.781626
Senegal,SEN,92.0,95.0,91.0,85.0,88.0,4.43182087,4.49531031,5.15119171,4.35098124,9.578823529411764,48.3353653,48.74660873,41.57304764,47.31245041,45.95,86.0,89.0,88.0,87.0,80.0,68.097,68.526,68.006,67.093,67.913,66.334871,66.531863,65.243694,63.108991,64.354516,76.491192,77.729079,76.227589,73.959123,75.450748
Serbia,SRB,96.0,97.0,92.0,91.0,92.0,8.53168106,8.66552734,8.70042133,10.0125246,9.47470588235294,38.31095886,37.05567169,36.04281998,35.76107025,45.95,92.0,87.0,78.0,75.0,81.0,75.8902439,75.93658537,74.47804878,72.7804878,75.48219512,78.186922,78.539713,76.1482,74.797238,74.919975,88.958236,89.436199,88.842235,87.581267,87.328962
Seychelles,SYC,99.0,99.0,97.0,94.0,97.0,4.94443846,4.77020788,6.54135609,5.25937986,9.370588235294118,24.62061691,24.68238068,20.23866653,21.97709084,45.95,96.0,99.0,97.0,94.0,98.0,72.84146341,74.04634146,77.23658537,73.39756098,73.84878049,70.968383,71.275387,71.164735,67.393285,67.967198,85.765199,86.130994,84.331056,81.972682,82.606697
Sierra Leone,SLE,93.0,95.0,91.0,92.0,91.0,8.28987598,9.12992668,9.32588673,8.55334282,9.266470588235292,60.98888779,52.88983917,52.34044266,51.40983582,45.95,87.0,93.0,87.0,87.0,90.0,59.796,60.255,59.763,60.062,60.411,55.619307,56.437353,54.325219,54.881329,55.454418,61.447935,61.940706,60.411018,60.542056,61.08649
Singapore,SGP,97.0,97.0,98.0,98.0,97.0,4.07545424,4.39938164,5.71281767,5.56525183,9.16235294117647,29.07070541,28.43709755,24.42372894,22.49976158,45.95,97.0,96.0,97.0,96.0,96.0,83.29756098,83.59512195,83.54390244,83.09268293,82.89512195,89.710777,90.054775,90.299722,90.71156,90.448711,94.170743,94.381415,94.318412,94.486041,94.598562
Sint Maarten (Dutch part),SXM,96.5,97.0,97.5,97.5,97.0,5.37272712,5.65969082,6.421408834999999,6.657625915000001,9.058235294117647,23.990352705,23.798548775,21.58686447,20.94988079,45.95,96.5,96.0,96.5,95.5,95.5,75.131,75.437,74.584,73.972,74.409,78.363935,78.465946,77.383759,76.587449,77.373108,87.547018,88.363148,87.300075,85.545662,86.239562
Slovak Republic,SVK,96.0,97.0,97.0,97.0,97.0,6.67,6.92,7.13,7.75,8.954117647058823,18.91,19.16,18.75,19.4,45.95,96.0,96.0,96.0,95.0,95.0,77.26585366,77.66585366,76.86585366,74.61463415,77.06585366,76.826998,77.519333,77.672763,73.399213,74.054385,89.411317,89.687556,89.679841,87.417731,87.802014
Slovenia,SVN,93.0,95.0,95.0,86.0,89.0,8.28,8.5,9.43,9.48,8.85,11.98,11.66,12.47,12.9,45.95,93.0,94.0,94.0,95.0,96.0,81.37804878,81.52926829,80.53170732,80.67560976,81.28292683,86.249455,86.948799,85.894358,85.572083,87.52857,93.674477,93.853374,93.354115,93.290713,94.081827
Solomon Islands,SLB,85.0,94.0,94.0,87.0,89.0,3.77378345,4.32405567,4.79699087,4.76345396,8.99,3.70020819,3.68255544,3.4970479,3.63947797,45.95,93.0,81.0,81.0,67.0,90.0,70.173,70.382,70.199,70.348,70.742,70.177558,70.666338,70.190194,70.529041,71.129648,76.757944,77.042495,76.907755,77.010612,77.809624
Somalia,SOM,42.0,42.0,42.0,42.0,42.0,5.93099344,6.284122465,6.68478942,6.51827264,9.13,4.76818228,4.7054168,4.442337035,4.573107125,45.95,46.0,46.0,46.0,46.0,46.0,56.375,57.078,55.967,55.28,56.107,48.67513,50.06342,45.982384,43.654134,44.86185,57.021465,57.857854,54.943012,52.900575,54.112813
South Africa,ZAF,82.0,85.0,84.0,86.0,85.0,8.08820343,8.24418926,8.57258797,8.27309132,9.27,5.83615637,5.72827816,5.38762617,5.50673628,45.95,81.0,83.0,84.0,87.0,86.0,65.674,66.175,65.252,62.341,61.48,51.826009,53.687107,51.766718,46.18486,44.233683,65.967121,66.977835,64.147429,58.858036,57.223982
South Sudan,SSD,59.0,61.0,67.0,69.0,73.0,10.05615997,9.03740788,9.44806385,5.86061621,9.41,25.75857735,42.32470322,39.66345978,27.40943527,45.95,61.0,65.0,69.0,74.0,72.0,55.95,55.912,55.48,54.975,55.567,47.406233,47.384276,45.890264,44.759654,45.64502,53.483942,53.388182,52.625195,51.477459,52.328355
Spain,ESP,96.0,95.0,94.0,92.0,93.0,8.99686718,9.1456852,10.74565983,10.74003887,9.55,22.24442673,21.83183861,19.72846413,20.99674988,45.95,98.0,98.0,96.0,95.0,96.0,83.43170732,83.83170732,82.33170732,83.22926829,83.08292683,87.996089,88.415084,87.547557,87.819924,88.88725,93.974388,94.085324,93.643215,93.794146,94.564687
Sri Lanka,LKA,99.0,99.0,96.0,96.0,98.0,3.64,3.9,4.02,4.07,9.69,46.82,45.51,43.76,43.64,45.95,99.0,99.0,96.0,97.0,99.0,75.748,76.008,76.393,76.399,76.61,75.58353,76.071946,76.788789,78.278397,77.108228,88.557164,88.830712,89.236205,88.918591,89.380769
St. Kitts and Nevis,KNA,98.0,97.0,99.0,96.0,96.0,4.89200258,5.18704271,5.65951824,6.1634655,9.83,49.38157272,46.36796951,42.20227051,38.84815598,45.95,96.0,97.0,95.0,96.0,95.0,71.467,71.572,71.627,71.682,72.027,65.97598,66.127238,66.156956,66.165127,66.911811,81.993543,82.115978,82.183409,82.262958,82.803131
St. Lucia,LCA,95.0,92.0,86.0,80.0,81.0,4.18686533,4.19073772,6.79121685,6.2111187,9.97,46.11191177,42.85055542,35.66007996,37.22053146,45.95,86.0,96.0,89.0,77.0,81.0,73.357,73.445,73.416,71.111,71.294,71.646837,71.730902,71.602811,67.13834,67.482904,85.450837,85.52541,85.515323,82.044698,82.396729
St. Martin (French part),MAF,96.0,94.5,91.5,86.0,86.5,4.22016382,4.223086115,5.815400125,5.7868199350000005,10.11,38.361224175,35.470228195,31.27989769,31.70691967,45.95,92.5,97.5,94.0,86.5,88.5,80.614,79.983,80.149,80.379,80.55,86.350766,85.858025,86.076724,86.420135,86.700414,93.772347,92.929821,93.068768,93.238753,93.264155
St. Vincent and the Grenadines,VCT,97.0,97.0,97.0,92.0,92.0,4.25346231,4.25543451,4.8395834,5.36252117,10.25,30.61053658,28.08990097,26.89971542,26.19330788,45.95,99.0,99.0,99.0,96.0,96.0,74.128,72.835,72.126,69.629,68.972,72.026317,69.605111,68.335985,63.170094,61.648655,81.647309,79.74846,78.864938,74.393414,73.154657
Sudan,SDN,93.0,93.0,90.0,84.0,84.0,4.46358299,4.57422638,3.01518917,2.83633852,10.39,66.95339966,67.37359619,52.96360779,56.85788345,45.95,88.0,90.0,86.0,81.0,81.0,65.681,65.876,65.614,65.267,65.578,62.310761,62.641483,61.760516,60.906593,61.400028,71.839712,72.035443,71.687868,70.949612,71.435972
Suriname,SUR,81.0,77.0,51.0,72.0,77.0,6.68795872,8.70230103,6.84054422,5.6838975,10.53,18.42653656,17.35204697,21.10627174,24.83084297,45.95,77.0,64.0,45.0,58.0,74.0,72.553,72.242,72.561,70.274,70.289,67.010529,66.266162,66.890552,63.27246,63.179043,79.221108,78.828563,79.240303,76.400107,76.314639
Sweden,SWE,97.0,98.0,97.0,98.0,94.0,10.94,10.83,11.33,11.25,10.67,13.96,13.71,12.83,13.08,45.95,97.0,97.0,97.0,97.0,92.0,82.55853659,83.1097561,82.35609756,83.05609756,83.1097561,89.9381,90.56354,90.047059,90.137552,91.077619,93.446706,93.636601,93.802506,93.958866,94.066636
Switzerland,CHE,96.0,96.0,96.0,96.0,96.0,10.77226162,11.06363678,11.73206806,11.80107975,10.707474954444445,23.74767685,23.77205276,22.89645958,22.70652771,45.95,95.0,95.0,97.0,95.0,96.0,83.75365854,83.90487805,83.0,83.75121951,83.45365854,90.383733,90.810427,90.379346,91.053141,91.311092,93.937881,94.329486,94.311598,94.705835,94.588086
Syrian Arab Republic,SYR,47.0,54.0,49.0,48.0,46.0,8.89113081,9.00681839,9.95603403,9.905539875,10.74494990888889,46.083838425,47.49602638,44.02822979,43.123263855000005,45.95,63.0,65.0,59.0,59.0,41.0,70.145,71.822,72.14,72.063,72.3,64.315206,69.617048,71.033024,71.417733,70.370389,83.091188,83.953894,83.808298,83.357266,84.601201
Tajikistan,TJK,96.0,97.0,97.0,97.0,97.0,7.01,6.95,8.18,8.01,10.782424863333333,68.42,71.22,65.16,63.54,45.95,98.0,98.0,98.0,97.0,98.0,70.353,70.867,67.994,71.594,71.288,69.646403,70.822878,64.529015,72.126691,71.003837,78.967045,79.631491,74.66578,80.6312,80.325862
Tanzania,TZA,89.0,89.0,86.0,81.0,88.0,4.16191673,3.88136053,2.93978429,3.36136484,10.819899817777776,20.83638191,21.91405106,29.17262459,25.56492043,45.95,88.0,88.0,84.0,77.0,86.0,66.535,66.989,66.408,66.201,66.782,62.122288,62.99026,61.462734,60.908971,61.858196,69.614883,70.552882,69.406937,68.842383,69.87761
Thailand,THA,97.0,97.0,97.0,97.0,97.0,3.87040329,3.78911877,4.35728741,5.16038752,10.857374772222222,10.11109638,8.66959763,10.54276752,9.04455376,45.95,96.0,96.0,96.0,96.0,96.0,78.662,78.975,79.274,78.715,79.68,74.41458,74.906925,75.418723,75.628596,76.239345,88.305081,88.58018,88.840513,88.802697,89.087685
Timor-Leste,TLS,83.0,90.0,86.0,86.0,86.0,6.36952639,6.02679253,9.96385956,11.43839264,10.894849726666669,10.1566391,10.48366928,6.68425894,5.89094496,45.95,77.0,85.0,79.0,79.0,79.0,68.017,68.268,68.475,67.737,69.056,67.14021,67.59123,67.673493,66.026554,68.725182,74.087229,74.513294,75.026269,73.591564,75.841025
Togo,TGO,81.0,84.0,82.0,83.0,82.0,6.08894634,5.726192,6.03786469,5.55532026,10.93232468111111,64.66403961,66.20977783,64.32513428,69.00460052,45.95,71.0,75.0,69.0,70.0,71.0,60.244,60.901,61.035,61.619,61.588,55.890671,56.811717,56.936143,57.622841,57.788374,59.08576,60.537427,60.671747,62.146631,61.814602
Tonga,TON,99.0,99.0,99.0,99.0,99.0,4.80628061,4.75078154,5.33435154,6.27256584,10.969799635555557,5.64390707,5.39891624,4.64230347,4.24110317,45.95,99.0,99.0,99.0,99.0,99.0,70.779,70.871,70.928,70.986,71.27,66.050633,66.275225,66.398672,66.632787,66.889735,77.287036,77.326593,77.321973,77.356139,78.091906
Trinidad and Tobago,TTO,99.0,93.0,96.0,94.0,93.0,6.5323596,6.83128405,7.53854179,7.0194726,11.00727459,44.8896904,46.91285706,47.08342743,45.96759033,45.95,90.0,99.0,91.0,93.0,92.0,73.802,74.228,74.406,72.971,74.708,69.689587,70.583245,71.086429,68.98339,71.631935,81.860478,82.243564,82.560554,80.825909,82.999272
Tunisia,TUN,97.0,98.0,97.0,97.0,97.0,5.9375186,6.02461243,7.05024958,6.97273922,11.044749544444445,41.91517639,35.57650757,33.4330864,33.74076843,45.95,96.0,98.0,98.0,95.0,95.0,75.95,75.993,75.292,73.772,74.263,78.735812,78.844821,77.469492,74.967361,76.150226,88.533276,88.607225,88.662234,86.027062,86.405285
Turkiye,TUR,98.0,99.0,98.0,95.0,99.0,4.12,4.37,4.62,4.57,11.08222449888889,17.49,17.05,16.43,16.27,45.95,96.0,97.0,95.0,96.0,95.0,77.563,77.832,75.85,76.032,78.475,80.214368,80.753156,77.341432,78.002091,81.759683,90.757944,91.051727,89.282232,89.281071,91.568411
Turkmenistan,TKM,99.0,99.0,98.0,97.0,98.0,5.69395018,5.68183947,5.68472815,5.56931353,11.119699453333332,76.8390274,77.00280762,76.96367645,78.55862427,45.95,99.0,99.0,98.0,97.0,98.0,68.796,69.002,68.687,69.264,69.41,63.244945,63.529577,63.064893,64.255147,64.07508,78.86035,79.297771,78.485033,79.501657,79.888444
Turks and Caicos Islands,TCA,94.0,95.5,96.5,95.5,94.5,12.167314295,14.047556165,12.27306724,12.767567875,11.157174407777775,38.598721905000005,38.65206966,38.67688465,39.456705525,45.95,93.5,97.5,95.5,95.0,94.0,76.443,75.326,75.001,74.587,74.925,79.648954,78.210672,77.58671,76.712264,77.37173,87.880248,87.3725,87.134827,86.444141,86.848852
Tuvalu,TUV,89.0,92.0,95.0,94.0,91.0,18.64067841,22.41327286,18.86140633,19.96582222,11.194649362222222,0.35841641,0.3013317,0.39009285,0.35478678,45.95,88.0,96.0,93.0,93.0,90.0,64.212,64.278,64.382,64.547,64.854,48.749148,48.671358,48.74086,48.989514,49.720445,68.985995,69.134155,69.293966,69.503469,70.116724
Uganda,UGA,93.0,93.0,89.0,91.0,89.0,4.02080536,3.79834843,4.30198574,4.67196703,11.232124316666669,35.62893295,38.26028442,34.00273132,31.25317955,45.95,86.0,87.0,89.0,90.0,90.0,62.714,62.991,62.851,62.705,63.638,52.951116,53.39508,52.683745,51.663767,54.463454,63.811933,64.337804,64.012673,63.99612,65.623891
Ukraine,UKR,69.0,80.0,81.0,78.0,73.0,7.52,7.09,7.56,8.01,11.26959927111111,50.66,51.12,47.86,46.33,45.95,91.0,93.0,85.0,88.0,74.0,71.58268293,71.82731707,71.18512195,69.64780488,68.58792683,65.98294,66.567799,62.966954,60.084483,52.302831,88.158823,88.478151,84.845894,83.76859,79.572532
United Arab Emirates,ARE,99.0,99.0,90.0,96.0,96.0,4.09854221,4.38618946,5.82477045,5.30695152,11.307074225555557,12.69611263,12.75102711,11.21054459,10.43673134,45.95,99.0,99.0,99.0,99.0,98.0,79.627,79.726,78.946,78.71,79.196,87.594783,87.806343,87.289418,87.185161,87.710539,91.929217,92.063898,91.452671,91.392679,91.819945
United Kingdom,GBR,94.0,93.0,93.0,93.0,92.0,9.73079777,9.95761967,12.15863419,12.36469936,11.34454918,16.46084976,16.61176109,13.5569973,13.51221371,45.95,92.0,91.0,91.0,91.0,90.0,81.25609756,81.40487805,80.35121951,80.7,82.05853659,86.639493,87.25462,85.250719,84.929711,88.073559,91.210897,91.49701,90.626618,90.387879,92.047562
United States,USA,94.0,94.0,93.0,94.0,94.0,16.62964439,16.66580582,18.75621986,17.3625679,16.57115173,11.32823181,11.30830574,9.93104649,10.70016861,45.95,92.0,90.0,91.0,92.0,92.0,78.63902439,78.78780488,76.9804878,76.32926829,77.43414634,79.931689,79.977234,77.113673,75.383496,77.585606,87.735705,87.799779,86.450152,85.23758,86.438982
Uruguay,URY,91.0,94.0,92.0,91.0,94.0,9.01452351,9.39027691,9.13688469,9.3592062,16.57115173,16.24662781,15.46145821,16.79532814,15.43746567,45.95,97.0,96.0,95.0,93.0,96.0,77.611,77.508,78.43,75.436,78.0,77.770208,77.616203,78.987008,73.970714,78.366944,87.483287,87.673209,87.957571,85.258751,87.887997
Uzbekistan,UZB,98.0,96.0,95.0,98.0,99.0,5.08,5.43,6.75,7.74,16.57115173,60.34,57.68,53.11,60.31,45.95,96.0,98.0,99.0,99.0,99.0,71.149,71.344,70.331,70.862,71.674,68.324846,68.953819,66.592328,67.656439,69.33196,80.553624,80.699872,78.797421,79.759392,81.287468
Vanuatu,VUT,85.0,90.0,78.0,62.0,68.0,3.31753612,3.31453276,3.99482441,4.3733778,16.57115173,8.56911182,8.07740307,8.6599102,7.33175659,45.95,75.0,80.0,78.0,50.0,70.0,69.795,69.877,70.299,70.449,70.492,67.823748,67.831073,69.802151,69.503614,68.738929,77.449258,77.575293,77.597803,78.582965,78.624828
"Venezuela, RB",VEN,60.0,64.0,54.0,56.0,56.0,2.41691327,2.18563724,4.08657551,4.03775549,16.57115173,36.90224457,34.12151718,28.95287514,28.05523682,45.95,74.0,93.0,76.0,68.0,68.0,71.979,72.161,71.095,70.554,71.105,66.538065,66.907071,66.765276,65.629434,66.170857,83.33379,83.607734,82.270457,81.318393,82.058206
Viet Nam,VNM,75.0,89.0,94.0,83.0,91.0,5.02678823,4.97407484,4.30061865,4.59346437,16.57115173,44.58100891,45.11730576,42.71472549,40.01131821,45.95,97.0,95.0,97.0,89.0,88.0,73.976,74.093,75.378,73.618,74.58,71.5794,71.804559,74.778522,71.887031,72.68571,87.009594,87.140526,88.300898,86.817325,87.611841
Virgin Islands (U.S.),VIR,87.0,94.0,96.0,89.0,94.5,6.5775459456666665,6.585870426333334,6.489729436666666,6.513524100000001,16.57115173,35.74683447333334,36.06438672,33.93545919,32.356762866666664,45.95,98.0,97.0,98.0,93.5,92.5,79.5195122,79.66829268,79.8195122,80.06829268,80.3195122,71.127658,71.089708,70.905954,70.454289,71.144528,90.97967,90.996669,90.8412,90.429015,90.687645
West Bank and Gaza,PSE,99.0,99.0,98.0,95.0,98.0,8.128303661333334,8.197666012666668,8.678840223333333,8.43358383,16.57115173,26.91266003666667,27.01146768,25.15619289,24.70220752333333,45.95,99.0,99.0,99.0,98.0,97.0,74.793,75.241,74.403,73.473,73.444,78.183348,79.527347,77.592418,75.478294,75.344967,86.211108,86.508101,85.626418,84.575726,84.589328
World,WLD,86.66517389,86.75216395,83.62434849,81.77987659,84.58050209,9.679061377,9.809461599,10.86795101,10.35364356,16.57115173,18.0784856,17.95854864,16.37692659,17.04765218,45.95,86.4700651,86.25732458,83.83568428,81.90748417,83.544241,72.78303635,72.97902042,72.2425046,71.32715674,71.99635238,73.065493,73.34222776,71.66666497,69.52945011,70.86263212,81.70539249,81.9386455,80.77040672,79.02892635,79.98121202
"Yemen, Rep.",YEM,65.0,73.0,72.0,72.0,74.0,7.2245142285,8.2813932945,8.592074440000001,8.48890407,16.57115173,14.177194175,12.6054657,12.24529513,12.06297323,45.95,64.0,67.0,68.0,71.0,73.0,64.575,65.092,64.65,63.753,63.72,56.958525,58.778173,57.704862,55.648933,55.381005,73.003868,73.070303,71.396379,69.979677,70.121725
Zambia,ZMB,90.0,88.0,84.0,91.0,82.0,4.76996708,6.75332499,6.31619787,6.62416458,16.57115173,10.27590275,7.25238276,8.11366367,7.07829428,45.95,94.0,93.0,96.0,90.0,90.0,62.342,62.793,62.38,61.223,61.803,52.972947,53.729942,51.7564,48.067413,49.134736,64.420318,65.551864,64.511353,61.534912,62.604672
Zimbabwe,ZWE,89.0,90.0,86.0,88.0,90.0,4.67039156,3.23280239,2.95440149,2.78975058,16.57115173,8.79635429,9.08337116,10.40830708,10.2550621,45.95,88.0,85.0,85.0,88.0,90.0,61.414,61.292,61.124,59.253,59.391,47.657356,46.791842,44.917408,40.235315,41.037746,57.579551,57.729252,58.110161,54.30757,54.538231
